40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
123,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,90.29,91.94,9.45,13.265,90.55,86.735,16.9,12.31,34.41,37.205,80,76.95
124,15,F24-3546,ABC-1964-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,90.29,,9.4,,90.6,,16.9,,35.32,,79.5,
125,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,91.88,91.33303174,13.22,10.05857506,86.78,89.94142494,12.31,0,37.18,0,77.11,0
126,15,F24-3547,ABC-2613-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,92,,13.31,,86.69,,12.31,,37.23,,76.79,
127,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,89.69309597,9.990152095,6.035393965,90.0098479,93.96460604,0,0,0,0,0,0
128,15,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
129,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,93.73093584,6.183844011,11.41385651,93.81615599,88.58614349,0,0,0,0,0,0
130,15,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
131,15,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,92.46,11.32941805,14.015,88.67058195,85.985,0,16.89,0,28.12,0,57.625
132,15,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
133,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.4,95.715,13.93,15.58,86.07,84.42,16.8,12.21,28.07,34.75,57.52,58.715
134,16,F25-1701,CIAT-BR12_1362,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.52,,14.1,,85.9,,16.98,,28.17,,57.73,
135,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.6,94.15,15.7,19.075,84.3,80.925,12.13,16.3,35.15,28.245,59.32,54.33
136,16,F25-1702,CIAT-BR12_2462,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.83,,15.46,,84.54,,12.29,,34.35,,58.11,
137,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.06,93.24,18.86,14.12,81.14,85.88,16.14,15.005,28.78,26.555,55.02,57.455
138,16,F25-1703,CIAT-BR12_3868,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.24,,19.29,,80.71,,16.46,,27.71,,53.64,
139,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.18,93.62,14.01,16.265,85.99,83.735,15.05,15.865,26.56,29.125,57.4,55.78
140,16,F25-1704,CIAT-BR15_2558,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.3,,14.23,,85.77,,14.96,,26.55,,57.51,
141,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.58,93.755,16.34,14.84,83.66,85.16,15.73,15.505,29.31,29.38,56.34,58.9
142,16,F25-1705,CIAT-BR15_2811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.66,,16.19,,83.81,,16,,28.94,,55.22,
143,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.76,94.1,14.74,14.51,85.26,85.49,15.41,16.185,29.27,29.835,58.57,58.915
144,16,F25-1706,CIAT-BR15_2891,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.75,,14.94,,85.06,,15.6,,29.49,,59.23,
145,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.02,93.89,14.52,11.93,85.48,88.07,16.18,12.755,30.08,33.24,59.29,65.67
146,16,F25-1707,CIAT-BR19_1343,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.18,,14.5,,85.5,,16.19,,29.59,,58.54,
147,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.84,93.56,11.98,13.175,88.02,86.825,12.75,14.135,33.32,29.085,65.53,60.645
148,16,F25-1708,CIAT-CIAT_26110,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.94,,11.88,,88.12,,12.76,,33.16,,65.81,
149,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.55,95.1,13.12,13.01,86.88,86.99,14.11,14.855,29.05,29.875,60.64,61.91
150,16,F25-1709,CIAT-CIAT_26646,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57,,13.23,,86.77,,14.16,,29.12,,60.65,
151,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.02,93.93,12.99,15.305,87.01,84.695,14.89,14.385,30.41,28.07,62.43,57.485
152,16,F25-1710,CIAT-CIAT_6297,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.18,,13.03,,86.97,,14.82,,29.34,,61.39,
153,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.82,93.93,15.33,15.305,84.67,84.695,14.44,14.385,28.18,28.07,57.16,57.485
154,16,F25-1711,CIAT-BR12_4400,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.04,,15.28,,84.72,,14.33,,27.96,,57.81,
155,16,F25-1712,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.66,94.615,14.23,14.2,85.77,85.8,15.22,15.085,27.9,28.255,55.64,56.115
156,16,F25-1712,CIAT-BR15_3434,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.57,,14.17,,85.83,,14.95,,28.61,,56.59,
157,16,F25-1713,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.28,96.295,14.78,14.715,85.22,85.285,15.44,15.49,26.68,26.74,57.94,58.32
158,16,F25-1713,CIAT-BR15_3811,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.31,,14.65,,85.35,,15.54,,26.8,,58.7,
159,16,F25-1714,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.62,94.735,15.42,15.535,84.58,84.465,15.86,15.81,26.8,27.02,58.33,58.245
160,16,F25-1714,CIAT-BR15_6547,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.85,,15.65,,84.35,,15.76,,27.24,,58.16,
161,16,F25-1715,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.87,94.825,15.09,15.195,84.91,84.805,17.16,17.035,26.6,26.45,56.36,56.48
162,16,F25-1715,CIAT-BR15_7121,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.78,,15.3,,84.7,,16.91,,26.3,,56.6,
163,16,F25-1716,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.61,94.77,12.99,12.99,87.01,87.01,14.82,14.755,27.57,27.605,59.42,59.445
164,16,F25-1716,CIAT-BR15_8887,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.93,,12.99,,87.01,,14.69,,27.64,,59.47,
165,16,F25-1717,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.66,92.765,15.15,15.1,84.85,84.9,15.23,15.195,27.6,27.94,53.84,53.885
166,16,F25-1717,CIAT-BR19_4678,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.87,,15.05,,84.95,,15.16,,28.28,,53.93,
167,16,F25-1718,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.86,95.62,15.34,15.335,84.66,84.665,15.11,15.06,27.89,27.735,59.49,59.075
168,16,F25-1718,CIAT-BR19_5029,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.38,,15.33,,84.67,,15.01,,27.58,,58.66,
169,16,F25-1719,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.49,94.565,15.4,15.445,84.6,84.555,15.79,15.75,28.37,28.565,57.57,58.405
170,16,F25-1719,CIAT-BR19_5357,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.64,,15.49,,84.51,,15.71,,28.76,,59.24,
171,16,F25-1720,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,94.5,94.575,14.12,14.1,85.88,85.9,14.76,14.96,31.05,30.84,62.85,62.005
172,16,F25-1720,CIAT-BR19_5381,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,94.65,,14.08,,85.92,,15.16,,30.63,,61.16,
173,16,F25-1721,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.76,96.88,13.76,13.785,86.24,86.215,13.85,13.865,32.43,32.8,65.34,65.615
174,16,F25-1721,CIAT-BR02_0465,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,97,,13.81,,86.19,,13.88,,33.17,,65.89,
175,16,F25-1722,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.74,95.835,11.26,11.31,88.74,88.69,12.21,12.25,32.59,32.715,67.01,67.42
176,16,F25-1722,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,95.93,,11.36,,88.64,,12.29,,32.84,,67.83,
177,16,F25-1723,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.05,96.06,14.48,14.705,85.52,85.295,15.99,16.095,30.77,30.825,63.07,63.965
178,16,F25-1723,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.07,,14.93,,85.07,,16.2,,30.88,,64.86,
179,16,F25-1724,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.18,96.24,13.63,13.64,86.37,86.36,12.69,12.77,29.04,29.05,60.19,61.25
180,16,F25-1724,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.3,,13.65,,86.35,,12.85,,29.06,,62.31,
181,16,F25-1725,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.22,96.295,15.55,15.61,84.45,84.39,18.7,18.565,24.89,25.08,56.9,56.3
182,16,F25-1725,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.37,,15.67,,84.33,,18.43,,25.27,,55.7,
183,16,F25-1726,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,96.16,96.2,14.33,14.215,85.67,85.785,13.55,13.465,28.61,28.795,60.76,60.705
184,16,F25-1726,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.24,,14.1,,85.9,,13.38,,28.98,,60.65,
185,16,F25-1727,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,95.99,96.03,12.86,12.825,87.14,87.175,14.44,14.595,31.93,31.605,64.65,64.875
186,16,F25-1727,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,96.07,,12.79,,87.21,,14.75,,31.28,,65.1,
187,16,F25-2076,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,A,96.25,96.335,8.02,7.995,91.98,92.005,26.28,26.315,33.64,33.125,61.29,60.565
188,16,F25-2076,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,B,96.42,,7.97,,92.03,,26.35,,32.61,,59.84,
189,16,F25-2122,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,A,91.1,91.13,7.52,7.535,92.48,92.465,30.08,30.135,23.33,23.98,52.63,51.86
190,16,F25-2122,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,B,91.16,,7.55,,92.45,,30.19,,24.63,,51.09,
191,16,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,0,0,0,0,0
192,16,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
193,16,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
194,16,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
195,16,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
196,16,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
197,17,F25-0929,ABC-15474,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,92.13,92.3,9.16,9.165,90.84,90.835,30.53,30.58,33.97,34.165,56.45,56.025
198,17,F25-0929,ABC-15474,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,92.47,,9.17,,90.83,,30.63,,34.36,,55.6,
199,17,F25-0930,ABC-15470,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,94.2,94.255,9.23,9.21,90.77,90.79,24.65,24.65,31.74,32.1,57.03,58.385
200,17,F25-0930,ABC-15470,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,94.31,,9.19,,90.81,,24.65,,32.46,,59.74,
201,17,F25-0931,ABC-13268,Tadehagi,triquetrum,Tadehagi triquetrum,Fabaceae,Fabales,Herbaceous,A,94.1,94.21,7.41,7.535,92.59,92.465,14.85,14.85,43.43,42.805,51.47,50.67
202,17,F25-0931,ABC-13268,Tadehagi,triquetrum,Tadehagi triquetrum,Fabaceae,Fabales,Herbaceous,B,94.32,,7.66,,92.34,,14.85,,42.18,,49.87,
203,17,F25-0932,ABC-22768,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,93.99,94.185,8.56,8.715,91.44,91.285,23.69,23.69,23.98,23.945,49.29,49.53
204,17,F25-0932,ABC-22768,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,94.38,,8.87,,91.13,,23.69,,23.91,,49.77,
205,17,F25-0933,ABC-22770,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,93.21,93.295,7.64,7.625,92.36,92.375,21.39,21.39,21.82,21.71,39.99,40.34
206,17,F25-0933,ABC-22770,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,93.38,,7.61,,92.39,,21.39,,21.6,,40.69,
207,17,F25-0934,ABC-18701,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,A,94.81,94.79,7.07,7.055,92.93,92.945,23.9,23.9,48.36,48.135,60.23,60.12
208,17,F25-0934,ABC-18701,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,B,94.77,,7.04,,92.96,,23.9,,47.91,,60.01,
209,17,F25-0935,ABC-20891,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,A,95.2,95.25,8.1,8.19,91.9,91.81,20.08,20.08,42.9,43.445,53.62,53.835
210,17,F25-0935,ABC-20891,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,B,95.3,,8.28,,91.72,,20.08,,43.99,,54.05,
211,17,F25-0936,ABC-5172,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,93.55,93.66,10.88,10.845,89.12,89.155,26.38,26.38,37.87,37.64,62.1,61.875
212,17,F25-0936,ABC-5172,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,93.77,,10.81,,89.19,,26.38,,37.41,,61.65,
213,17,F25-0937,ABC-5452,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,94.62,94.725,16.66,16.57,83.34,83.43,15.2,15.2,33.95,33.25,50.65,50.51
214,17,F25-0937,ABC-5452,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,94.83,,16.48,,83.52,,15.2,,32.55,,50.37,
215,17,F25-0938,ABC-5733,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,95.1,95.245,12.07,12.325,87.93,87.675,15.96,15.96,29.98,30.015,46.76,47.795
216,17,F25-0938,ABC-5733,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,95.39,,12.58,,87.42,,15.96,,30.05,,48.83,
217,17,F25-0939,ABC-5735,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,93.98,93.995,8.88,8.92,91.12,91.08,26.53,26.53,30.62,30.74,51.17,50.725
218,17,F25-0939,ABC-5735,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,94.01,,8.96,,91.04,,26.53,,30.86,,50.28,
219,17,F25-0940,ABC-5749,Centrosema,plumieri,Centrosema plumieri,Fabaceae,Fabales,Climber,A,93.07,93.085,8.73,8.695,91.27,91.305,21.39,21.84,25.86,26.07,62.66,61.275
220,17,F25-0940,ABC-5749,Centrosema,plumieri,Centrosema plumieri,Fabaceae,Fabales,Climber,B,93.1,,8.66,,91.34,,22.29,,26.28,,59.89,
221,17,F25-0941,ABC-5911,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,95.28,95.335,11.41,11.535,88.59,88.465,15.5,15.5,30.6,30.38,52.79,53.065
222,17,F25-0941,ABC-5911,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,95.39,,11.66,,88.34,,15.5,,30.16,,53.34,
223,17,F25-0942,ABC-13692,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,94.85,94.915,10.6,10.585,89.4,89.415,18.55,18.55,32.9,32.175,56.76,55.225
224,17,F25-0942,ABC-13692,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,94.98,,10.57,,89.43,,18.55,,31.45,,53.69,
225,17,F25-0943,ABC-15121,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,93.81,93.915,11.06,11.185,88.94,88.815,19.77,19.77,30.08,30.28,50.42,50.425
226,17,F25-0943,ABC-15121,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,94.02,,11.31,,88.69,,19.77,,30.48,,50.43,
227,17,F25-0944,ABC-15150,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,92.98,93.1,8.67,8.715,91.33,91.285,20.03,20.03,29.19,28.83,63.62,62.445
228,17,F25-0944,ABC-15150,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,93.22,,8.76,,91.24,,20.03,,28.47,,61.27,
229,17,F25-0945,ABC-15154,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,94.27,94.365,7.86,7.93,92.14,92.07,26.23,26.23,32.18,33.335,67.12,65.84
230,17,F25-0945,ABC-15154,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,94.46,,8,,92,,26.23,,34.49,,64.56,
231,17,F25-0946,ABC-15561,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,A,92.74,92.51,9.54,9.535,90.46,90.465,25.06,25.06,38.8,39.02,69.3,70.835
232,17,F25-0946,ABC-15561,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,B,92.28,,9.53,,90.47,,25.06,,39.24,,72.37,
233,17,F25-0947,ABC-15799,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,92.72,92.82,19.6,19.53,80.4,80.47,17.46,17.46,32.94,31.86,61.17,59.55
234,17,F25-0947,ABC-15799,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,92.92,,19.46,,80.54,,17.46,,30.78,,57.93,
235,17,F25-0948,ABC-15816,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,A,95.88,95.735,10.15,10.185,89.85,89.815,20.68,20.6,28.22,27.515,52.12,51.4
236,17,F25-0948,ABC-15816,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,B,95.59,,10.22,,89.78,,20.52,,26.81,,50.68,
237,17,F25-0949,ABC-20304,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,A,94.46,94.545,12.12,12.08,87.88,87.92,22.84,22.84,20.34,20.755,46.9,47.58
238,17,F25-0949,ABC-20304,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,B,94.63,,12.04,,87.96,,22.84,,21.17,,48.26,
239,17,F25-0950,ABC-21603,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,A,94.11,94.275,8.14,8.465,91.86,91.535,18.15,18.15,19.59,20.07,51.54,52.445
240,17,F25-0950,ABC-21603,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,B,94.44,,8.79,,91.21,,18.15,,20.55,,53.35,
241,17,F25-0951,ABC-23248,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,94.8,94.94,10.5,10.475,89.5,89.525,18.85,18.85,22.81,22.8,42.46,42.05
242,17,F25-0951,ABC-23248,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,95.08,,10.45,,89.55,,18.85,,22.79,,41.64,
243,17,F25-0952,ABC-23271,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,A,95,95.055,13.74,13.78,86.26,86.22,17.34,17.34,21.39,21.925,44.33,45.845
244,17,F25-0952,ABC-23271,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,B,95.11,,13.82,,86.18,,17.34,,22.46,,47.36,
