40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
361,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.15116977,94.15116977,15.49325688,15.34989912,84.50674312,84.65010088,15.54928312,15.59452659,28.78851284,28.72505982,62.76133027,63.06903313
362,19,F25-2091,CIAT-PM21_6641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.15116977,,15.20654136,,84.79345864,,15.63977006,,28.66160681,,63.37673598,
363,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.34,92.3965094,14.96809792,14.72709647,85.03190208,85.27290353,14.28299887,14.42724325,32.23716115,32.29916795,68.45911401,68.72612896
364,19,F25-2092,CIAT-CIAT_16025,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.45301879,,14.48609501,,85.51390499,,14.57148764,,32.36117475,,68.99314391,
365,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,94.3916825,94.3969608,13.46037842,13.51794696,86.53962158,86.48205304,14.84734964,14.88862415,29.56002239,29.67274596,66.1530826,66.68183337
366,19,F25-2093,CIAT-PM21_0070,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,94.4022391,,13.57551551,,86.42448449,,14.92989867,,29.78546952,,67.21058415,
367,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.68,93.66595221,11.86130044,11.76346445,88.13869956,88.23653555,14.74382631,14.67398894,30.24084285,30.02790274,72.35649109,71.36580711
368,19,F25-2094,CIAT-PM21_4926,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.65190443,,11.66562846,,88.33437154,,14.60415157,,29.81496262,,70.37512312,
369,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.27067293,93.28033647,14.34242482,14.51466791,85.65757518,85.48533209,11.67986436,11.57892028,31.4482921,32.04889937,67.23751574,68.08565132
370,19,F25-2095,CIAT-PM21_3662,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.29,,14.686911,,85.313089,,11.47797621,,32.64950664,,68.9337869,
371,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,95.45227386,95.49113693,11.22056248,11.26525632,88.77943752,88.73474368,11.96656091,12.02554234,30.79602825,31.22290886,71.78222876,72.06703828
372,19,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,95.53,,11.30995017,,88.69004983,,12.08452376,,31.64978948,,72.3518478,
373,19,F25-2097,CIAT-PM21_0079,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.89061094,93.9112157,12.75545421,12.48805,87.24454579,87.51195,13.46657868,13.4793065,31.70428497,31.24368586,69.24058237,68.55329219
374,19,F25-2097,CIAT-PM21_0079,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.93182045,,12.2206458,,87.7793542,,13.49203431,,30.78308674,,67.86600201,
375,19,F25-2098,CIAT-CIAT_6986,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.5714857,92.57611381,11.81494015,11.85333378,88.18505985,88.14666622,12.24520283,12.26267653,33.01324087,33.48122332,71.50151476,71.82219522
376,19,F25-2098,CIAT-CIAT_6986,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.58074193,,11.89172742,,88.10827258,,12.28015023,,33.94920577,,72.14287567,
377,19,F25-2099,CIAT-PM21_4852,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.70218934,92.71682153,11.3214094,11.02004092,88.6785906,88.97995908,10.67380305,10.66096705,35.20547094,34.88998796,72.84545848,72.85679583
378,19,F25-2099,CIAT-PM21_4852,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.73145371,,10.71867244,,89.28132756,,10.64813104,,34.57450498,,72.86813318,
379,19,F25-2100,CIAT-PM21_0078,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.54223733,92.59758808,13.8622932,13.65109593,86.1377068,86.34890407,13.78059732,13.8395443,32.26759711,31.98433369,66.65642334,66.45391224
380,19,F25-2100,CIAT-PM21_0078,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.65293882,,13.43989865,,86.56010135,,13.89849127,,31.70107026,,66.25140114,
381,19,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.96,93.03103469,13.59761293,13.62781153,86.40238707,86.37218847,16.8760352,16.9551522,28.86014504,28.87010673,66.56506406,66.51376933
382,19,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.10206938,,13.65801013,,86.34198987,,17.0342692,,28.88006841,,66.4624746,
383,19,F25-2102,CIAT-PM21_0876,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,92.4115177,92.48761792,13.29641823,13.20796993,86.70358177,86.79203007,13.13035586,13.10094191,30.76177444,31.06988518,66.00707517,66.6826844
384,19,F25-2102,CIAT-PM21_0876,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,92.56371814,,13.11952163,,86.88047837,,13.07152797,,31.37799592,,67.35829363,
385,19,F25-2103,CIAT-PM21_3641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,A,93.68126375,93.72156759,12.69464519,12.53401011,87.30535481,87.46598989,12.33750379,12.36729865,32.41143537,32.19256094,69.17003565,69.05784329
386,19,F25-2103,CIAT-PM21_3641,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,B,93.76187144,,12.37337503,,87.62662497,,12.3970935,,31.9736865,,68.94565093,
387,19,F25-2104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.02139572,93.09138172,14.27344002,14.47749973,85.72655998,85.52250027,12.27493536,12.22902015,25.42988884,25.64188675,59.23822696,59.7591323
388,19,F25-2104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.16136773,,14.68155945,,85.31844055,,12.18310493,,25.85388467,,60.28003764,
389,19,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.32460524,92.30730262,14.58381132,14.62610329,85.41618868,85.37389671,13.61137379,13.65570256,24.69071535,24.32148476,59.75374265,58.96260766
390,19,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.29,,14.66839526,,85.33160474,,13.70003134,,23.95225418,,58.17147267,
391,19,F25-2106,CIAT-BR09_4777,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.63254698,93.67658746,13.5732037,13.67664208,86.4267963,86.32335792,12.91360434,12.75992054,24.86774358,24.43479859,59.85162133,58.97358036
392,19,F25-2106,CIAT-BR09_4777,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.72062794,,13.78008047,,86.21991953,,12.60623674,,24.0018536,,58.09553939,
393,19,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,0,0,0,0,0
394,19,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
395,19,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
396,19,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
397,19,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
398,19,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
399,20,F25-2107,CIAT-BR12_0255,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.80245926,91.85365817,14.52962949,14.2282416,85.47037051,85.7717584,14.95263578,14.9579123,24.37122496,24.63463089,56.62619189,57.34218878
400,20,F25-2107,CIAT-BR12_0255,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,91.90485709,,13.92685371,,86.07314629,,14.96318881,,24.89803681,,58.05818566,
401,20,F25-2108,CIAT-BR12_0461,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.79072093,92.82036046,14.79053418,14.72124596,85.20946582,85.27875404,13.21826375,13.23602025,25.99250217,25.60164458,61.15973328,60.78860674
402,20,F25-2108,CIAT-BR12_0461,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.85,,14.65195775,,85.34804225,,13.25377674,,25.21078699,,60.41748021,
403,20,F25-2109,CIAT-BR12_1620,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.64063594,93.54630017,13.86340572,13.78721298,86.13659428,86.21278702,13.22499278,13.21811495,25.32588125,25.37685971,60.2469476,60.35987767
404,20,F25-2109,CIAT-BR12_1620,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.45196441,,13.71102024,,86.28897976,,13.21123713,,25.42783817,,60.47280774,
405,20,F25-2110,CIAT-BR12_1889,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.36,91.34586683,14.96509965,15.0894734,85.03490035,84.9105266,14.78608608,14.81552708,23.01845575,23.38894132,57.53390373,57.75338296
406,20,F25-2110,CIAT-BR12_1889,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,91.33173365,,15.21384715,,84.78615285,,14.84496807,,23.75942689,,57.97286218,
407,20,F25-2111,CIAT-BR12_4039,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.10157968,92.1061843,13.67712776,13.60181991,86.32287224,86.39818009,15.20918528,15.16824631,27.15807688,27.46824758,61.64920669,61.83770541
408,20,F25-2111,CIAT-BR12_4039,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.11078892,,13.52651206,,86.47348794,,15.12730733,,27.77841828,,62.02620413,
409,20,F25-2112,CIAT-BR12_4856,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.56074393,92.58148163,12.76585545,12.91035301,87.23414455,87.08964699,13.01529418,13.00823577,28.50942747,27.75186073,65.11674561,63.62626174
410,20,F25-2112,CIAT-BR12_4856,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.60221933,,13.05485058,,86.94514942,,13.00117736,,26.99429399,,62.13577786,
411,20,F25-2113,CIAT-BR12_5049,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.21311475,92.25232822,14.61709034,14.47224325,85.38290966,85.52775675,14.58818011,14.56019901,26.72963598,26.52233592,60.67073868,60.59714531
412,20,F25-2113,CIAT-BR12_5049,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.29154169,,14.32739616,,85.67260384,,14.53221791,,26.31503586,,60.52355195,
413,20,F25-2114,CIAT-BR15_1851,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.13157369,92.16773587,15.2083551,14.81567797,84.7916449,85.18432203,11.37076189,11.25064192,25.87762523,26.14383314,59.51040984,59.44090944
414,20,F25-2114,CIAT-BR15_1851,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.20389805,,14.42300085,,85.57699915,,11.13052196,,26.41004105,,59.37140903,
415,20,F25-2115,CIAT-BR15_3025,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,91.95241428,92.02357871,14.15516801,14.13675561,85.84483199,85.86324439,12.34322122,12.31612962,27.1082734,26.72055284,60.45345802,59.9419802
416,20,F25-2115,CIAT-BR15_3025,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.09474315,,14.11834321,,85.88165679,,12.28903802,,26.33283228,,59.43050239,
417,20,F25-2116,CIAT-BR15_3248,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.13393303,92.16196652,15.79037882,15.89740581,84.20962118,84.10259419,13.93219872,13.91229411,24.42984137,24.29020216,58.98557403,58.78803907
418,20,F25-2116,CIAT-BR15_3248,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.19,,16.0044328,,83.9955672,,13.8923895,,24.15056295,,58.59050411,
419,20,F25-2117,CIAT-BR15_7659,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.27134573,93.33100333,13.93684634,13.72863021,86.06315366,86.27136979,12.29695883,12.33363569,27.15746881,26.95129104,60.44628058,60.11864972
420,20,F25-2117,CIAT-BR15_7659,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.39066093,,13.52041409,,86.47958591,,12.37031255,,26.74511327,,59.79101886,
421,20,F25-2118,CIAT-BR15_8919,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.46130774,93.51661808,13.62052304,13.48621622,86.37947696,86.51378378,11.79150243,11.758873,27.38608801,26.98267253,63.98853999,63.20760754
422,20,F25-2118,CIAT-BR15_8919,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57192842,,13.3519094,,86.6480906,,11.72624358,,26.57925705,,62.4266751,
423,20,F25-2119,CIAT-BR19_5515,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.39304278,92.42689835,14.48133214,14.52677724,85.51866786,85.47322276,11.20421303,11.19403356,26.67884636,26.9558564,60.72756041,60.88519916
424,20,F25-2119,CIAT-BR19_5515,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.46075392,,14.57222234,,85.42777766,,11.1838541,,27.23286644,,61.0428379,
425,20,F25-2120,CIAT-BR19_5877,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,93.40197941,93.48727519,12.97113652,13.0079115,87.02886348,86.9920885,12.44418661,12.43047201,25.93043378,26.06732092,60.47889876,60.58683674
426,20,F25-2120,CIAT-BR19_5877,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,93.57257097,,13.04468648,,86.95531352,,12.41675741,,26.20420805,,60.69477471,
427,20,F25-2121,CIAT-BR19_6136,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,A,92.89284286,92.92247861,14.8559083,14.78672107,85.1440917,85.21327893,13.27526237,13.3259947,26.18873097,25.86817235,60.32899751,59.52582632
428,20,F25-2121,CIAT-BR19_6136,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,B,92.95211437,,14.71753384,,85.28246616,,13.37672704,,25.54761373,,58.72265513,
429,20,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,A,92.59074093,92.61258014,11.098894,11.09612094,88.901106,88.90387906,17.13448106,17.14905641,24.78973458,24.94540367,56.07531623,56.89266389
430,20,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,B,92.63441935,,11.09334788,,88.90665212,,17.16363176,,25.10107275,,57.71001155,
431,20,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,A,94.03238705,94.05208276,6.706366116,6.642926026,93.29363388,93.35707397,17.00895537,17.00895537,27.16761458,26.71941801,47.17079133,46.80180129
432,20,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,B,94.07177847,,6.579485935,,93.42051406,,17.00895537,,26.27122145,,46.43281125,
433,20,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,A,93.72313843,93.7684251,9.540020776,9.555531325,90.45997922,90.44446867,14.73367257,14.73367257,45.57818948,45.61641176,64.52916051,63.41092761
434,20,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,B,93.81371177,,9.571041874,,90.42895813,,14.73367257,,45.65463403,,62.29269472,
435,20,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,A,92.92212336,92.96745912,9.290787184,9.284946755,90.70921282,90.71505325,16.70905083,16.70905083,33.0690178,33.35026429,61.15222931,61.77493281
436,20,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,B,93.01279488,,9.279106326,,90.72089367,,16.70905083,,33.63151079,,62.39763632,
437,20,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,93.64,92.46630611,8.467949386,8.31531848,91.53205061,91.68468152,19.94531352,19.94531352,37.8621994,38.55258672,60.93641064,60.22108633
438,20,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,91.29261222,,8.162687575,,91.83731243,,19.94531352,,39.24297403,,59.50576202,
439,20,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,A,94.43111378,94.49582886,6.961877939,6.972807418,93.03812206,93.02719258,15.81615439,15.81615439,39.57242705,40.09354549,58.11104238,57.839963
440,20,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,B,94.56054395,,6.983736897,,93.0162631,,15.81615439,,40.61466393,,57.56888362,
441,20,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,A,94.87102579,94.91076537,8.19553428,8.195944015,91.80446572,91.80405598,20.82484313,20.82484313,24.77690357,24.96748591,47.72310356,46.60975324
442,20,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,B,94.95050495,,8.196353751,,91.80364625,,20.82484313,,25.15806825,,45.49640292,
443,20,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,A,94.60269865,94.6424129,9.377996552,9.341498746,90.62200345,90.65850125,15.88423229,15.88423229,24.7272453,24.60852453,45.3831957,45.89872594
444,20,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,B,94.68212715,,9.305000939,,90.69499906,,15.88423229,,24.48980377,,46.41425618,
445,20,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,A,94.14175747,94.47087874,12.68793541,12.77452078,87.31206459,87.22547922,13.57733849,13.57733849,46.78905476,46.85874716,69.35196774,68.33942305
446,20,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,B,94.8,,12.86110616,,87.13889384,,13.57733849,,46.92843955,,67.32687836,
447,20,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,A,93.39198241,93.46293104,7.818936959,7.769646262,92.18106304,92.23035374,20.9527222,20.37739203,52.63036648,52.91980391,65.46390562,65.24709435
448,20,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,B,93.53387967,,7.720355565,,92.27964444,,19.80206186,,53.20924133,,65.03028307,
449,20,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,A,94.21289355,94.24259232,11.443454,11.45463261,88.556546,88.54536739,20.26242214,20.30719452,42.34795436,41.01564449,57.90467215,58.23852862
450,20,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,B,94.27229108,,11.46581123,,88.53418877,,20.3519669,,39.68333463,,58.57238508,
451,20,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,A,93.16478465,93.32304419,7.26000462,7.31538588,92.73999538,92.68461412,13.82686494,13.82686494,47.43167711,46.99468757,63.34230175,63.36005574
452,20,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,B,93.48130374,,7.37076714,,92.62923286,,13.82686494,,46.55769802,,63.37780974,
453,20,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,A,93.49195241,93.51597621,8.41315038,8.366292233,91.58684962,91.63370777,18.04924226,18.04924226,45.53654535,46.46920206,63.32727069,62.40995594
454,20,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,B,93.54,,8.319434086,,91.68056591,,18.04924226,,47.40185878,,61.49264118,
455,20,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,A,92.91495953,93.00885921,8.670523453,8.677197194,91.32947655,91.32280281,23.9176173,23.9176173,31.95085835,31.38909249,50.63369361,50.99436438
