42_no,42_requisitioer,42_set_ciat,42_ciat_lab_id,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_family,42_order,42_functional_group,42_net_gas_8_24h_ml,42_net_gas_24h_ml,42_gas_ml_g_dm_incubated_24h,42_percentage_dmd_truly_digestibility,42_part_fact,42_ch4_percentage_in_gas_8h,42_ch4_percentage_in_gas_24h,42_ch4_ml_g_dm_incubated_24h,42_ch4_ml_g_dmd_24h,42_ch4_ml_g_ndf_digested_in_24h,42_ch4_g_g_dm_incubated_24h,42_ch4_g_g_dmd_24h
88,Breding ,16,F25-1722,CIAT-BR04_3025,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.321004024,3.249537925,6.778128767,6.81002502,0.3781161,0.934655149,0.574813477,1.005921987,7.47966111,10.10089739,0.558304106,4.151341322
89,Breding ,16,F25-1723,CIAT-BR05_1435,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.517462898,3.590919549,7.488171322,6.091622667,0.457973572,1.200102876,0.844617627,1.168429587,6.059616063,9.935274365,0.648498636,3.363191753
90,Breding ,16,F25-1724,CIAT-BR09_3660,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,3.468626341,2.635804876,5.463585276,8.450047776,0.586141053,1.347161367,1.017029222,0.949235872,11.01562693,13.79599637,0.526842332,6.113863528
91,Breding ,16,F25-1725,CIAT-BR19_1264,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.336835293,3.346965074,6.935819308,5.004706386,0.328241408,0.793725393,0.559233347,0.80336378,5.435968342,8.889354149,0.445880797,3.017056478
92,Breding ,16,F25-1726,CIAT-BR19_5217,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,2.97047759,4.264420666,8.876096209,6.140388988,0.317677074,1.072856192,0.77355465,0.769795997,7.647508122,10.11512888,0.427250097,4.244499318
93,Breding ,16,F25-1727,CIAT-CIAT_26124,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grasses,4.196551769,2.68697997,5.592111083,8.833775438,0.582941435,0.884991456,0.771151021,1.185263186,10.07636301,13.61660954,0.657841575,5.592555802
94,LMF,16,F25-2076,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,2.154782528,2.581946918,5.369323451,6.322648181,0.417568554,0.874584449,0.523716183,0.480033662,4.742416708,10.43944222,0.266426987,2.632123322
95,LMF-invivo,16,F25-2122,ILRI-15551,Leucaena,diversifolia,Leucaena diversifolia,Fabaceae,"	Fabales",Tree,3.446649974,4.204896109,9.241309604,8.226328555,0.820172444,0.677868846,0.319978767,0.834351139,6.666345074,15.86256952,0.463079317,3.699936851
96,LMF,16,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,2.835248169,3.65878013,16.07226548,17.61703671,1.023609926,1.205650758,0.697849038,1.919606033,53.54518208,#DIV/0!,1.065414559,29.71850244
97,LMF,16,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,3.431185004,2.115397341,9.371575535,13.67271982,0.550080577,0.777619031,0.35692839,0.996659017,21.09971686,#DIV/0!,0.553162998,11.7107079
98,LMF,16,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,2.005102262,2.099049801,4.481812003,6.986704531,0.655923803,0.770922167,0.478607664,0.445306931,15.56343525,#DIV/0!,0.247153051,8.637975828
99,Genetic bank,17,F25-0929,ABC-15474,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,0.784845993,2.438303924,5.299253449,6.248545534,0.63548886,0.585234996,0.421760329,1.128676108,7.700658213,11.15313795,0.626434767,4.273998537
100,Genetic bank,17,F25-0930,ABC-15470,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,1.022508994,2.443124615,5.193155342,6.239839663,0.581332588,0.831330928,0.67862048,1.313535294,8.437285408,10.68740201,0.729034814,4.682839375
101,Genetic bank,17,F25-0931,ABC-13268,Tadehagi,triquetrum,Tadehagi triquetrum,Fabaceae,Fabales,Herbaceous,0.785904062,2.124804221,4.528809628,6.76791823,0.76484696,0.488636298,0.415316856,0.810159259,5.144383196,13.35685461,0.449652406,2.855221677
102,Genetic bank,17,F25-0932,ABC-22768,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,1.084464908,2.108529614,4.471742824,6.925498719,0.379034351,0.355902608,0.290420536,0.90533412,6.765592722,13.9824323,0.5024761,3.755021012
103,Genetic bank,17,F25-0933,ABC-22770,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,0.956449837,1.624704304,3.465772909,8.77716208,0.442024617,0.476969601,0.380197818,0.901988693,8.154153245,21.75796252,0.50061933,4.525696126
104,Genetic bank,17,F25-0934,ABC-18701,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.873320717,2.913588049,6.150919499,8.683782288,0.983573192,0.880796497,0.509479332,0.970853573,22.38656628,14.44408232,0.53884053,12.42493159
105,Genetic bank,17,F25-0935,ABC-20891,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.929634225,0.996921642,2.076008563,5.402232079,0.583066825,0.820267948,0.514563741,0.655997106,8.708166823,10.03479535,0.364089743,4.833183247
106,Genetic bank,17,F25-0936,ABC-5172,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,0.490439704,2.386423063,5.110872455,8.968238057,0.781274321,0.670175949,0.484149347,1.10972173,12.10881627,14.49412211,0.61591476,6.720602524
107,Genetic bank,17,F25-0937,ABC-5452,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,1.356951462,1.45151365,3.069675441,2.68415645,0.225210248,0.37579847,0.254392574,0.481385049,4.724695936,5.314108988,0.267177031,2.622287987
108,Genetic bank,17,F25-0938,ABC-5733,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,2.092241067,5.381185065,11.3106717,7.833063047,0.618524388,0.669069743,0.49884644,1.714652194,11.56004439,16.3888755,0.951661633,6.416024637
109,Genetic bank,17,F25-0939,ABC-5735,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,2.22640397,2.238653227,4.761014133,8.480315928,0.53176431,0.346410162,0.346669072,0.719083375,7.502850064,16.7182177,0.399103714,4.164211592
110,Genetic bank,17,F25-0940,ABC-5749,Centrosema,plumieri,Centrosema plumieri,Fabaceae,Fabales,Climber,1.817539104,5.389190307,11.56735557,7.753503587,0.632817053,0.419912527,0.617550517,2.552030809,10.18965031,12.65361662,1.416421252,5.655432214
111,Genetic bank,17,F25-0941,ABC-5911,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,1.04608226,0.923804462,1.915975154,9.420377162,0.609239231,0.272717803,0.281510717,0.534906118,12.83596162,17.75252457,0.29688215,7.124180773
112,Genetic bank,17,F25-0942,ABC-13692,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,2.547925113,4.278698094,9.029661616,9.542672335,1.024615786,0.500616903,0.432069905,1.648447604,15.17726847,17.27962397,0.91491694,8.423646584
113,Genetic bank,17,F25-0943,ABC-15121,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,1.497830581,1.851695687,3.932284768,6.650146048,0.527360776,0.068718427,0.175786837,0.67498374,6.4742306,13.18819246,0.374627654,3.593309994
114,Genetic bank,17,F25-0944,ABC-15150,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,0.683934585,1.907164779,4.084679948,9.04642712,0.650648013,0.441657931,0.411936527,0.957518239,12.3661344,14.48703198,0.531439189,6.86341854
115,Genetic bank,17,F25-0945,ABC-15154,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,1.015391676,2.878949684,6.088798274,9.642434867,0.819538661,0.563279638,0.436253086,1.227978678,15.3795715,14.64525344,0.681549412,8.535928265
116,Genetic bank,17,F25-0946,ABC-15561,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,1.938643487,4.713175725,10.20530138,6.674412804,0.441097044,0.625316247,0.537211074,2.121402606,6.041664916,9.422478724,1.177415149,3.353228556
117,Genetic bank,17,F25-0947,ABC-15799,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,2.161125013,2.272796707,4.88425667,8.387993493,0.651420371,0.362433476,0.256288612,0.864911167,6.566806651,14.08563139,0.480040661,3.644691304
118,Genetic bank,17,F25-0948,ABC-15816,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,1.128756879,1.64023748,3.438796018,8.46896144,0.566596211,0.591435473,0.398139955,1.044082271,8.509225154,16.47657868,0.579483724,4.722767179
119,Genetic bank,17,F25-0949,ABC-20304,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,1.013902613,2.808061615,5.924641354,8.827885838,0.46100633,0.45757513,0.394285455,1.585336241,6.888335934,18.55377435,0.879889042,3.823145619
120,Genetic bank,17,F25-0950,ABC-21603,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,2.866504698,4.038892934,8.593084943,8.903534403,0.547624971,0.446514277,0.399289795,2.034884819,11.61482268,16.97689847,1.12939628,6.446427537
121,Genetic bank,17,F25-0951,ABC-23248,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,1.700666235,2.265312915,4.77484533,8.806971691,0.521366135,0.552126571,0.418783967,1.164781262,7.670137953,20.94404683,0.646473752,4.257059265
122,Genetic bank,17,F25-0952,ABC-23271,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,1.058519713,1.797541273,3.74447023,8.651885944,0.62692462,0.338113868,0.279289911,0.945455415,7.906330198,18.87203827,0.524744113,4.388150048
123,Genetic bank,17,F25-0953,ABC-23279,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,1.048192444,0.956074592,2.022951552,9.187942566,0.568735578,0.532174667,0.400685291,0.71707259,12.42511802,20.13354348,0.397987693,6.896155469
124,Genetic bank,17,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,,,,,,,,,,,,
125,Genetic bank,17,F25-0955,ABC-33255,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,0.565212185,1.116039015,2.367800031,9.690369342,0.754036027,0.550993421,0.311257687,0.57110756,11.79719551,21.34442586,0.316974577,6.547647612
126,Genetic bank,17,F25-0956,ABC-33428,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,0.880385279,3.317286546,6.894655065,5.081632323,0.564616491,0.362068709,0.225001301,1.114909449,5.055912294,10.03779224,0.618794034,2.806118795
127,Genetic bank,17,F25-0957,ABC-33451,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,2.941005987,4.421834846,9.225874384,6.105317125,0.334728616,0.633936117,0.42589357,1.557145525,2.216978675,13.29989571,0.864242707,1.230461521
128,Genetic bank,17,F25-0958,ABC-33463,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,2.983353282,2.504449973,5.220241243,1.88187274,0.293486977,0.82604101,0.52741591,1.158573236,2.128430144,4.737846778,0.64302819,1.181315554
129,LMF,17,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,0.697652162,0.654666076,2.839882402,5.580333705,0.26410642,0.717526132,0.611880222,1.477779428,7.950904497,#DIV/0!,0.820193149,4.412889555
130,LMF,17,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,9.191450554,19.35120431,9.343952999,9.777003912,0.421837467,0.460807715,0.466851667,1.302505139,13.22708112,#DIV/0!,0.722912887,7.341258866
131,LMF,17,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,1.002395707,10.74439574,22.93084783,5.826440355,0.571693395,0.647591692,0.274868713,3.474541877,15.36601921,#DIV/0!,1.928430855,8.52840651
132,Genetic bank,18,F25-0959,ABC-350,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,1.584157553,1.13596194,2.377240184,3.962391416,0.351227107,0.575698334,0.733306998,0.826900087,3.905059666,7.715687695,0.458943855,2.167375676
133,Genetic bank,18,F25-0960,ABC-3187,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,2.048561193,1.941553511,4.099134668,2.707584222,0.17805042,0.405517502,0.255831556,0.427368036,1.663369331,7.534671551,0.237196654,0.923198756
134,Genetic bank,18,F25-0961,ABC-4028,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,0.742406054,3.100205211,6.579054684,7.049327393,0.834437065,0.434897462,0.374918249,1.023793555,11.39171956,10.7754928,0.568223136,6.322601446
135,Genetic bank,18,F25-0962,ABC-5277,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,1.542309843,1.471627144,3.18093044,7.899982638,0.428336107,0.262466929,0.192035581,0.298833249,7.753249344,12.76661706,0.165857623,4.303187525
136,Genetic bank,18,F25-0963,ABC-7227,Galactia,texana,Galactia texana,Fabaceae,Fabales,Climber,1.390653953,4.507273098,9.706142268,9.827525324,0.557273845,0.38586123,0.37067157,1.06376369,5.718847924,23.52771205,0.590407252,3.17405954
137,Genetic bank,18,F25-0964,ABC-8013,Crotalaria,paulina,Crotalaria paulina,Fabaceae,Fabales,Herbaceous,1.743600417,2.19686153,4.672464561,9.160438217,0.44229396,0.096824584,0.121327441,0.635237959,5.780889561,15.0048128,0.352568057,3.208493722
138,Genetic bank,18,F25-0965,ABC-8156,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,1.288921649,1.706297565,3.632766574,9.149044897,0.669082256,0.334477204,0.314703196,0.785041757,7.378961117,15.57681944,0.435711757,4.095451084
139,Genetic bank,18,F25-0966,ABC-9323,Crotalaria,vitellina,Crotalaria vitellina,Fabaceae,Fabales,Herbaceous,1.024280597,1.564002756,3.390942845,7.384723873,0.376322161,0.32356044,0.266635091,0.561852927,7.00761346,16.24980498,0.311838095,3.889346709
140,Genetic bank,18,F25-0967,ABC-9537,Crotalaria,sagittalis,Crotalaria sagittalis,Fabaceae,Fabales,Herbaceous,1.18205586,2.392508377,5.217341263,6.3499469,0.375440292,0.361410133,0.241167365,0.432749134,5.011866007,12.57913411,0.240183256,2.781672344
141,Genetic bank,18,F25-0968,ABC-9690,Aeschynomene,histrix,Aeschynomene histrix,Fabaceae,Fabales,Herbaceous,1.412376235,1.837802536,3.899153009,9.048667997,0.540685253,0.344374433,0.221192766,0.806140788,7.814994026,18.10095619,0.447422084,4.337456892
142,Genetic bank,18,F25-0969,ABC-9900,Pueraria,phaseoloides,Pueraria phaseoloides,Fabaceae,Fabales,Climber,1.928827507,2.219147387,4.771421623,7.626779591,0.56600445,0.707106781,0.818364552,1.197038512,7.54863863,13.75309637,0.664377084,4.189625039
143,Genetic bank,18,F25-0970,ABC-11998,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,1.984082052,2.446476753,5.182782387,7.551500864,0.464093497,0.304138127,0.51167402,0.81415291,6.098739698,11.89212735,0.451868951,3.384906047
144,Genetic bank,18,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
145,Genetic bank,18,F25-0972,ABC-13389,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,1.172494792,1.379985358,2.946805876,6.33302413,0.850720763,0.3230712,0.320428276,0.50428499,12.60567101,11.08528642,0.279886894,6.996365499
146,Genetic bank,18,F25-0973,ABC-13651,Desmodium,heterocarpon,Desmodium heterocarpon,Fabaceae,Fabales,Herbaceous,1.82995563,1.309451367,2.769578402,7.195056188,0.694061184,0.453107186,0.315956813,0.414651181,18.96601204,12.94191238,0.230138579,10.52646481
147,Genetic bank,18,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
148,Genetic bank,18,F25-0975,ABC-15160,Centrosema,molle,Centrosema molle,Fabaceae,Fabales,Climber,2.280833787,1.382753914,2.938877012,9.859506819,0.879457713,0.364005494,0.320921005,0.741195733,22.08410328,15.93842033,0.411376455,12.2570594
149,Genetic bank,18,F25-0976,ABC-17000,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,0.428452053,0.930130551,1.988360893,5.026352941,0.352218718,0.833572882,0.828850691,1.14752395,2.603695123,10.30095899,0.636895645,1.44509584
150,Genetic bank,18,F25-0977,ABC-17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,1.371715864,1.273724415,2.691550934,8.777881621,0.493909913,0.589358762,0.383315302,0.490421232,13.74862701,22.01349623,0.272192268,7.630725854
151,Genetic bank,18,F25-0978,ABC-18700,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,0.735864904,1.595811862,3.43446061,9.243568573,0.77969682,0.556776436,0.290905408,0.336719987,18.21020847,17.07976455,0.186885419,10.10698076
152,Genetic bank,18,F25-0979,ABC-18873,Alysicarpus,ferrugineus,Alysicarpus ferrugineus,Fabaceae,Fabales,Herbaceous,1.302353787,3.013762191,6.34060093,9.692224231,0.76634756,0.423782771,0.220995008,1.106759407,17.87695069,18.71808465,0.614270619,9.922016922
153,Genetic bank,18,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,,,,,,,,,,,,
154,Genetic bank,18,F25-0981,ABC-20207,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,0.903256238,1.533541833,3.389261537,9.75839095,0.703623541,0.430116263,0.372750052,0.401451202,11.44479451,18.4468638,0.222812363,6.352058961
155,Genetic bank,18,F25-0982,ABC-20709,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,1.456871807,3.019923212,6.439490513,9.595627607,0.698783701,0.542883249,0.352913358,1.031065266,14.56415887,19.65310314,0.572259061,8.083360148
156,Genetic bank,18,F25-0983,ABC-18437,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,0.944928639,1.010517286,2.118163406,3.188650981,0.488254326,0.426145515,0.350283249,0.403577803,6.916065504,4.899963091,0.223992663,3.83853601
157,Genetic bank,18,F25-0984,ABC-25522,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,0.944468035,1.141496958,2.39728558,8.092943106,0.520961413,0.205480467,0.173558258,0.319311923,7.740229997,15.97817,0.177223642,4.295961562
158,Genetic bank,18,F25-0985,ABC-25704,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,1.564698537,1.293845352,2.682231834,9.973550638,0.759718207,0.305727637,0.263181875,0.298686615,14.88904835,17.00810136,0.165776239,8.263679431
159,Genetic bank,18,F25-0986,ABC-33729,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Shrub,1.891453933,0.895211067,1.913111959,9.79090847,0.799897669,0.363790805,0.299005879,0.442347891,10.1650246,24.43451078,0.245510733,5.641764521
160,Genetic bank,18,F25-0987,ABC-33827,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,1.055947364,0.653691725,1.388901018,7.332159789,0.815381963,0.456131073,0.291505943,0.329266627,18.51492745,14.93311566,0.182748675,10.27610506
161,Genetic bank,18,F25-0988,ABC-8512,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,1.208599501,1.574077398,3.403014352,7.310625371,0.603048496,0.570781628,0.981823141,1.668844012,11.13160581,14.49801759,0.926237299,6.178233815
162,Genetic bank,18,F25-0989,ABC-11833,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,1.576415289,1.157646331,2.451105753,9.231173733,0.699409491,0.410960934,0.737633139,0.915564046,22.48272623,14.20289827,0.508153886,12.47830203
163,LMF-invivo,18,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis,Poaceae,Poales,Grasses,,,,,,,,,,,,
164,LMF,18,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,4.040083097,4.603982228,20.13191225,7.423338852,0.430855104,0.878287475,0.757354483,4.280556557,21.55082711,#DIV/0!,2.375782947,11.9610819
165,LMF,18,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,3.968191517,6.405371202,28.52202247,15.33848057,0.563897817,0.841427359,0.675874836,4.406854477,51.48369598,#DIV/0!,2.445880478,28.57434199
166,LMF,18,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,2.845816254,9.897396998,21.10667416,12.86255286,1.683831718,1.222129289,4.294187604,4.897702769,69.14400301,#DIV/0!,2.718309772,38.37611794
167,Breding ,19,F25-2077,CIAT-PM21_3535,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,2.087139485,5.532296235,10.58461114,2.018683015,0.261665144,0.652819148,0.465195533,1.5526548,2.857030837,2.953388593,0.861750276,1.585701544
168,Breding ,19,F25-2078,CIAT-PM21_6106,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.939451293,3.854252373,5.891999156,2.104954415,0.202662364,0.218298697,0.244632773,1.04243251,2.297493489,3.166227597,0.578568078,1.275148635
169,Breding ,19,F25-2079,CIAT-PM21_2580,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,2.46620628,5.29306557,9.574578758,2.206904078,0.217006111,0.198761598,0.134771447,1.555282974,2.550853758,3.392790237,0.863208958,1.415767968
170,Breding ,19,F25-2080,CIAT-CIAT_16031,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,2.304041243,3.728581909,7.936255208,2.073648152,0.249876641,0.356249323,0.173023418,1.210850221,3.039518677,3.1543116,0.672042822,1.686985452
171,Breding ,19,F25-2081,CIAT-CIAT_26936,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,3.325233607,7.174623004,13.36499088,3.696880904,0.465927275,0.266666667,0.155214777,2.157608995,5.479054447,5.527168715,1.197510321,3.040970012
172,Breding ,19,F25-2082,CIAT-PM21_0074,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,2.241283803,5.633746031,12.03276672,3.580912763,0.489622863,0.240370085,0.181235887,1.761186304,4.851468683,5.558343479,0.977488869,2.692649054
173,Breding ,19,F25-2083,CIAT-PM21_0072,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.681771591,4.754543211,12.01206143,3.505254175,0.268997338,0.262466929,0.156679616,1.926619431,3.11389057,5.292899873,1.069307117,1.72826314
174,Breding ,19,F25-2084,CIAT-PM21_6598,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.612798893,5.129855762,10.6191097,3.280478404,0.219118908,1.177568116,0.695533031,2.332158907,4.497961563,5.009028524,1.294388542,2.496446487
175,Breding ,19,F25-2085,CIAT-PM21_6647,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.528138242,3.509281909,8.563119086,4.198519906,0.221961884,0.32356044,0.213677385,1.35372958,3.346361093,6.344668207,0.751343338,1.857288302
176,Breding ,19,F25-2086,CIAT-PM21_0819,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.77954809,5.02225029,11.99927197,5.487993905,0.350069736,0.32584174,0.225304516,1.713725821,5.658136416,8.466395576,0.95114748,3.140363603
177,Breding ,19,F25-2087,CIAT-CIAT_16021,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.725756171,4.207085911,8.795000864,4.78932438,0.393811367,0.285881785,0.150291677,1.505294213,7.738716229,6.774104796,0.835464331,4.295121395
178,Breding ,19,F25-2088,CIAT-PM21_6640,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,1.602272354,4.711024997,9.781676632,3.179885898,0.271879719,0.194365063,0.169716293,1.624051995,3.593500657,4.841425917,0.901376955,1.994455036
179,Breding ,19,F25-2089,CIAT-PM21_0065,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grasses,0.9431874,3.109886339,5.397570365,5.213139518,0.356656763,0.316227766,0.172392781,0.934156423,5.791263579,8.036701274,0.518472976,3.214251481
