21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_ot,21_replication,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_av_om_percentage
179,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,A,92.03,92.04039746,12.04905705,12.0430228,87.95094295,87.9569772
180,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,B,92.05079492,,12.03698856,,87.96301144,
181,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,A,91.04,90.675,12.3628343,12.88668321,87.6371657,87.11331679
182,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,B,90.31,,13.41053212,,86.58946788,
183,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,A,90.65186963,90.70639677,7.969178081,8.057764328,92.03082192,91.94223567
184,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,B,90.76092391,,8.146350574,,91.85364943,
185,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,A,91.94161168,92.05580584,8.612617363,8.580889697,91.38738264,91.4191103
186,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,B,92.17,,8.549162031,,91.45083797,
187,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,A,92.20077992,92.30076992,8.742281443,8.64478388,91.25771856,91.35521612
188,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,B,92.40075992,,8.547286318,,91.45271368,
189,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,A,91.72082792,91.80541396,9.268678957,11.13177764,90.73132104,88.86822236
190,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,B,91.89,,12.99487632,,87.00512368,
191,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,A,91.25087491,91.34629329,14.62419946,15.08316523,85.37580054,84.91683477
192,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,B,91.44171166,,15.542131,,84.457869,
193,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,0,A,89,89,9.5,9.5,89.53,89.53
194,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,0,B,89,,9.5,,89.53,
195,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,0,A,89,89,9.1,9.1,89.58,89.58
196,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,0,B,89,,9.1,,89.58,
197,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,OT-002,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494
198,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,OT-002,B,91.32173565,,10.12699803,,89.87300197,
199,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,A,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349
200,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,B,93.82123575,,11.5,,88.50170503,
201,,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,A,93.64063594,93.73093584,11.33,11.415,88.67058195,88.58614349
202,,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,OT-001,B,93.82123575,,11.5,,88.50170503,
203,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,A,96.08039196,96.18019598,10.35452673,10.3030587,89.64547327,89.6969413
204,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,B,96.28,,10.25159067,,89.74840933,
205,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,A,96.9518289,97.01106094,10.47705443,10.32506735,89.52294557,89.67493265
206,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,B,97.07029297,,10.17308027,,89.82691973,
207,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,A,96.88187088,96.87624838,9.480640983,9.456735773,90.51935902,90.54326423
208,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,B,96.87062587,,9.432830563,,90.56716944,
209,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,A,96.6,96.6359984,17.22960416,17.20892552,82.77039584,82.79107448
210,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,B,96.6719968,,17.18824688,,82.81175312,
211,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,A,96.57,96.67048435,10.41682998,10.42560924,89.58317002,89.57439076
212,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,OT-032,B,96.77096871,,10.43438851,,89.56561149,
213,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,95.49180328,95.52112412,8.664773788,8.697476899,91.33522621,91.3025231
214,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,95.55044496,,8.73018001,,91.26981999,
215,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,93.89061094,93.88652898,7.423112927,7.342148182,92.57688707,92.65785182
216,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,93.88244702,,7.261183436,,92.73881656,
217,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,92.81143771,92.80787756,7.616364546,7.679453105,92.38363545,92.3205469
218,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,92.80431741,,7.742541663,,92.25745834,
219,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,93.46196141,93.46598071,7.829377709,7.766357636,92.17062229,92.23364236
220,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,93.47,,7.703337563,,92.29666244,
221,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,95.13,95.1054919,8.401197281,8.421382404,91.59880272,91.5786176
222,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,95.0809838,,8.441567527,,91.55843247,
223,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,91.31086891,91.26306988,7.165380339,7.147163922,92.83461966,92.85283608
224,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,91.21527084,,7.128947504,,92.8710525,
225,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,96.38,96.33018598,8.387817295,8.439297566,91.61218271,91.56070243
226,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,96.28037196,,8.490777837,,91.50922216,
227,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,A,94.35282359,94.46668277,6.85613322,7.005689889,93.14386678,92.99431011
228,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,OT-033,B,94.58054195,,7.155246558,,92.84475344,
229,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,OT-033,A,92.6114777,92.62610682,6.940499259,6.876076172,93.05950074,93.12392383
230,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,OT-033,B,92.64073593,,6.811653086,,93.18834691,
231,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,OT-033,A,92.22388806,92.20889555,17.6900981,17.70635738,82.3099019,82.29364262
232,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,OT-033,B,92.19390305,,17.72261666,,82.27738334,
233,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,OT-033,A,88.90665601,88.948328,10.82001841,10.81202193,89.17998159,89.18797807
234,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,OT-033,B,88.99,,10.80402546,,89.19597454,
235,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,0,A,89,89,9.5,9.5,89.53,89.53
236,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,0,B,89,,9.5,,89.53,
237,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,0,A,89,89,9.5,9.5,89.53,89.53
238,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,0,B,89,,9.5,,89.53,
239,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,92.4,92.47574485,9.10509022,8.914978922,90.89490978,91.08502108
240,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.5514897,,8.724867624,,91.27513238,
241,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,91.55,91.57,11.27006662,11.21546358,88.72993338,88.78453642
242,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,91.59,,11.16086054,,88.83913946,
243,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,92.14078592,92.53645314,10.22197607,10.36679888,89.77802393,89.63320112
244,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.93212036,,10.51162169,,89.48837831,
245,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,92.5814837,92.62647471,10.68595175,10.68055481,89.31404825,89.31944519
246,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.67146571,,10.67515786,,89.32484214,
247,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,91.67333067,91.76207279,15.02198652,15.03513625,84.97801348,84.96486375
248,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,91.85081492,,15.04828598,,84.95171402,
249,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,92.2523243,92.24616215,13.23235332,13.21265705,86.76764668,86.78734295
250,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.24,,13.19296079,,86.80703921,
251,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,91.27,91.94036946,8.407623381,8.793284266,91.59237662,91.20671573
252,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.61073893,,9.178945151,,90.82105485,
253,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,93.63,93.69531197,11.84691077,11.90501352,88.15308923,88.09498648
254,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,93.76062394,,11.96311627,,88.03688373,
255,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,92.4615077,92.55185752,9.484676576,9.446397189,90.51532342,90.55360281
256,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,92.64220734,,9.408117802,,90.5918822,
257,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,94.06118776,93.95090185,13.11061017,13.34540708,86.88938983,86.65459292
258,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,93.84061594,,13.580204,,86.419796,
259,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,89.78306508,89.75704599,10.41388533,10.3982165,89.58611467,89.6017835
260,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,89.7310269,,10.38254768,,89.61745232,
261,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,90.94,90.95545145,10.2357801,10.24626166,89.7642199,89.75373834
262,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,90.97090291,,10.25674321,,89.74325679,
263,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,91.68,91.725,10.74952303,11.20741346,89.25047697,88.79258654
264,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,91.77,,11.6653039,,88.3346961,
265,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),A,91.36,91.37586083,9.466395087,9.520156742,90.53360491,90.47984326
266,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),B,91.39172166,,9.573918397,,90.4260816,
267,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer,Heustandard,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494
268,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer,Heustandard,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,B,91.32173565,,10.12699803,,89.87300197,
