33_sample_serial_no,33_date,33_requisitioner,33_requisitioner_2,33_set_ciat,33_ciat_lab_id,33_gene_bank_breeding_program_id,33_genus,33_species,33_tax_name,33_family,33_order,33_functional_group,33_ot,33_remarks,33_ch4_8h_percentage,33_ch4_24h_percentage,33_net_gas_8h_ml,33_net_gas_8_24h_ml2,33_net_gas_24h_ml,33_ch4_8h_ml,33_ch4_8_24h_ml,33_ch4_24h_ml,33_gas_ml_g_dm_incubated_24h,33_percentage_dmd_truly_digestibility,33_part_fact,33_ch4_ml_in_gas_8h,33_ch4_ml_in_gas_24h,33_ch4_ml_g_dm_incubated_24h,33_ch4_ml_g_dmd_24h,33_ch4_ml_g_ndf_digested_in_24h,33_ch4_g_g_dm_incubated_24h,33_ch4_g_g_dmd_24h
Sample serial No,"Date (M,D.Y)",Requisitioner,Requisitioner (2),Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Remarks,ID LAB,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,45923,Genetic bank,Juan José Gonzalez,23,F243540,ABC-1467-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,,12.97777778,15.88888889,44.87350942,53.29823902,98.17174845,5.83232023,8.459298113,14.29161834,211.6901112,58.71985099,2.773917587,12.925,14.52515349,30.74652128,52.38308744,272.2846751,17.06485126,29.07351981
2,45923,Genetic bank,Juan José Gonzalez,23,F243541,ABC-1475-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,Descatada Syr 2 Run 1 ,13.26666667,16.14444444,42.26239831,46.79823902,89.06063734,5.60769786,7.547858956,13.15555682,196.1181327,54.17210229,2.808143294,13.26666667,14.77404047,28.96950855,53.95676639,274.4441271,16.07857845,29.94693886
3,45923,Genetic bank,Jorge Penafiel,23,F25-0954,ABC-23326,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-005,,14.56666667,18.73333333,44.09573165,35.15379458,79.24952622,6.427470837,6.580921595,13.00839243,165.3157769,63.05411566,3.820690347,14.56666667,16.41454748,27.13568639,43.06813496,281.7710122,15.06077542,23.90356003
4,45923,Genetic bank,Jorge Penafiel,23,F25-0971,ABC-13149,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-005,,13.02222222,15.43333333,35.26239831,31.29823902,66.56063734,4.596360232,4.827906842,9.424267075,141.8816786,46.63775979,3.286910053,13.02222222,14.15417382,20.08879467,43.24452117,446.7952587,11.1496286,24.00145742
5,45923,Genetic bank,Jorge Penafiel,23,F25-0974,ABC-13946,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,OT-005,,11.72222222,14.07777778,17.10145092,7.645835201,24.74728612,1.999499617,1.072670721,3.072170338,52.73206261,21.90499783,4.14858884,11.7,12.42634498,6.546281341,30.7597125,186.5054696,3.633299402,17.07217261
6,45923,Genetic bank,Jorge Penafiel,23,F25-0980,ABC-19867,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,OT-005,"Revisar Syr2, Run 1 ",15.54444444,17.06666667,40.54017609,32.24268347,72.78285956,6.30293424,5.495494936,11.79842918,151.7316509,53.37260736,3.520379803,15.54444444,16.20620112,24.5965071,47.39832009,426.7720159,13.65148699,26.30688769
7,45923,Genetic bank,Jorge Penafiel,23,F25-1651,CIAT-798,Galactia,striata,Galactia striata,Fabaceae,Fabales,Climber,OT-008,,12.62222222,15.81111111,41.59573165,51.63157236,93.227304,5.251814585,8.162994265,13.41480885,201.2648865,57.23065636,2.844873998,12.62222222,14.391042,28.96075284,50.79680633,223.6034504,16.07371888,28.19310635
8,45923,Genetic bank,Jorge Penafiel,23,F25-1652,CIAT-822,Calopogonium,mucunoides,Calopogonium mucunoides,Fabaceae,Fabales,Climber,OT-008,,13.54444444,16.07777778,43.04017609,37.18712791,80.227304,5.829230119,5.977069557,11.80629968,170.5337522,51.7016439,3.03300641,13.54444444,14.7182702,25.09582498,48.95101893,#DIV/0!,13.92861705,27.16866241
9,45923,Genetic bank,Jorge Penafiel,23,F25-1653,CIAT-852,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,11.81111111,14.14444444,20.92906498,19.24268347,40.17174845,2.47199398,2.722025043,5.194019022,85.6524175,28.47867822,3.331840754,11.81111111,12.93176323,11.07442781,41.4939891,-190.7201044,6.146499032,23.02988184
10,45923,Genetic bank,Jorge Penafiel,23,F25-1654,CIAT-907,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,,13.25555556,16.12222222,30.1512872,41.76490569,71.91619289,4.001349545,6.733801409,10.73515095,154.6408739,45.26242543,2.935351654,13.25555556,14.92855514,23.08367183,52.96601648,91.8753358,12.81183724,29.39705551
11,45923,Genetic bank,Jorge Penafiel,23,F25-1655,CIAT-1992,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-008,,11.58888889,13.91111111,36.42906498,44.74268347,81.17174845,4.226172407,6.221123562,10.44729597,175.4925076,51.85954824,2.95426334,11.58888889,12.86738901,22.58693357,43.92298372,245.4315417,12.53613891,24.37801588
12,45923,Genetic bank,Jorge Penafiel,23,F25-1656,CIAT-3001,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,,12.26666667,15.02222222,28.37350942,30.96490569,59.33841511,3.483756669,4.652255019,8.136011688,125.5143582,36.91860039,2.93377952,12.26666667,13.71093538,17.20954056,49.08382303,203.5812613,9.551592755,27.24237098
13,45923,Genetic bank,Jorge Penafiel,23,F25-1657,CIAT-3304,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,"Revisar Syr2, Run 1 ",13.15555556,15.67777778,52.6512872,41.79823902,94.44952622,6.930618684,6.54263055,13.47324923,198.9628037,60.77252255,3.051922408,13.15555556,14.26311169,28.38210295,47.42407565,107.7700176,15.75255818,26.32118247
14,45923,Genetic bank,Jorge Penafiel,23,F25-1658,CIAT-5713,Centrosema,macrocarpum,Centrosema macrocarpum,Fabaceae,Fabales,Climber,OT-008,,13.33333333,16.14444444,44.42906498,41.35379458,85.78285956,5.928884599,6.67440203,12.60328663,181.1933223,45.57515323,2.509138903,13.33333333,14.69170864,26.6210567,61.23400073,-30.96988922,14.77514704,33.98592982
15,45923,Genetic bank,Jorge Penafiel,23,F25-1659,CIAT-7381,Galactia,glaucescens,Galactia glaucescens,Fabaceae,Fabales,Herbaceous,OT-008,,12.16666667,16.1,25.76239831,25.85379458,51.61619289,3.132662345,4.162676951,7.295339296,108.8522249,32.91424455,3.022919761,12.35714286,14.3075606,15.57275341,47.88026973,1564.034676,8.643147567,26.57437808
16,45923,Genetic bank,Jorge Penafiel,23,F25-1660,CIAT-7799,Dioclea,guianensis,Dioclea guianensis,Fabaceae,Fabales,Climber,OT-008,,12.07777778,14,21.81769923,23.00091174,44.81861097,2.653114856,3.231313022,5.884427878,96.08444604,26.12147445,2.71284595,12.12857143,13.10959265,12.59403893,49.69615998,-194.1802583,6.989909494,27.58222858
17,45923,Genetic bank,Jorge Penafiel,23,F25-1661,CIAT-7803,Dioclea,holtiana,Dioclea holtiana,Fabaceae,Fabales,Climber,OT-008,,11.55555556,13.7,24.70684276,23.29823902,48.00508178,2.85851263,3.187574365,6.046086995,101.8187314,30.90399008,3.04429813,11.55555556,12.59858678,12.82374033,52.05950915,-623.6988833,7.117397748,28.89392826
18,45923,Genetic bank,Jorge Penafiel,23,F25-1662,CIAT-8182,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,OT-008,,12.83333333,16.05555556,28.67451469,20.61863381,49.2931485,3.75538314,3.311051661,7.066434802,105.5458533,22.97813377,2.18797923,13.07142857,14.32731668,15.13055684,69.86260626,-127.8316258,8.397720822,38.77495517
19,45923,Genetic bank,Jorge Penafiel,23,F25-1663,CIAT-8434,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,13.52222222,16.44444444,34.76239831,30.90935013,65.67174845,4.719262473,5.081719654,9.800982128,141.9063416,38.59254042,2.69961937,13.625,14.96080735,20.9521908,63.71063424,-116.8314576,11.62882839,35.36050426
20,45923,Genetic bank,Jorge Penafiel,23,F25-1664,CIAT-8702,Calopogonium,caeruleum,Calopogonium caeruleum,Fabaceae,Fabales,Climber,OT-008,,14.16666667,16.97777778,35.20684276,33.5760168,68.78285956,4.992837468,5.680007578,10.67284505,147.8645297,46.87940212,3.19786793,14.16666667,15.52534456,22.94383698,50.56211073,-546.7724673,12.73422648,28.06284623
21,45923,Genetic bank,Jorge Penafiel,23,F25-1665,CIAT-8816,Crotalaria,micans,Crotalaria micans,Fabaceae,Fabales,Herbaceous,OT-008,,13.71111111,16.1,55.37350942,44.40935013,99.78285956,7.591455807,7.145886206,14.73734201,213.4679747,68.1952173,3.194860374,13.71111111,14.77357864,31.52787137,46.81331452,1755.53392,17.49851408,25.98219948
22,45923,Genetic bank,Jorge Penafiel,23,F25-1666,CIAT-8826,Zapoteca,formosa,Zapoteca formosa,Fabaceae,Fabales,Shrub,OT-008,,10.9,12.55555556,43.6512872,52.24268347,95.89397067,4.756202,6.552269852,11.30847185,204.5570971,67.59860718,3.306025699,10.9,11.80293693,24.12272429,36.28892623,166.102363,13.38852933,20.14098189
23,45923,Genetic bank,Jorge Penafiel,23,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,,,,,,,,,,,,,,,,,,,
24,45923,Genetic bank,Jorge Penafiel,23,F25-1668,CIAT-9740,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,,10.03333333,16.78888889,41.87350942,40.24268347,82.11619289,4.204351187,6.749714431,10.95406562,172.1113326,47.1806153,2.736695976,10.03333333,13.33752042,22.95906623,49.69550158,59.5659903,12.74267897,27.58186316
25,45923,Genetic bank,Jorge Penafiel,23,F25-1669,CIAT-9934,Aeschynomene,americana,Aeschynomene americana,Fabaceae,Fabales,Herbaceous,OT-008,,12.91111111,16.32222222,55.20684276,37.13157236,92.33841511,7.132180248,6.069394971,13.20157522,196.8000892,53.37226858,2.801409972,12.91111111,14.25721415,28.13648656,54.26757667,2150.735587,15.61623683,30.11944394
26,45923,Breeding,,23,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,,13.54444444,15.82222222,33.54017609,47.52046124,81.06063734,4.553126239,7.503362373,12.05648861,169.6856367,42.41159274,2.510922617,13.54444444,14.88181772,25.23804978,62.71797907,-484.3825131,14.00755427,34.80956347
27,45923,Breeding,,23,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-013,,13.24444444,16.88888889,31.42906498,46.24268347,77.67174845,4.161048585,7.802341071,11.96338966,166.9068335,38.56555059,2.321356812,13.24444444,15.40351149,25.70779028,73.73504975,-284.046733,14.26826838,40.9242283
28,45923,Breeding,,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-013,,12.24444444,14.71111111,37.92906498,48.5760168,86.50508178,4.658493841,7.138780433,11.79727427,187.3233109,43.35970501,2.299293575,12.24444444,13.62849217,25.54641672,63.78060712,98.49986451,14.17870326,35.39934042
29,45923,LMF-invivo,Isabel Molina,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,OT-016,,13.96666667,15.13333333,25.44527089,31.80216118,57.24743207,3.592686771,4.847319734,8.440006505,124.2616052,26.81450241,2.155562513,14.06666667,14.73475333,18.32000613,70.11851478,260.5630656,10.16792035,38.91698883
30,45923,Breeding,,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,,13.67777778,14.54444444,35.98462053,48.18712791,84.17174845,4.927258456,7.003515887,11.93077434,172.6419092,41.8190352,2.411163846,13.67777778,14.17209367,24.47085954,62.58941512,-175.765888,13.58175041,34.73820825
31,45923,Breeding,,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-020,,12.8,14.93333333,38.24594326,56.4043481,94.65029136,4.926014461,8.497388787,13.42340325,196.2068555,42.7268349,2.175235425,12.87142857,14.17957892,27.8262068,67.45307837,-0.298665575,15.4440262,37.4376255
32,45923,LMF,,23,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,,,,OT-002,,14.16666667,16.72222222,26.04017609,26.42711776,52.9259201,3.755342972,4.418485597,8.173828569,232.9945511,48.64756147,2.080582692,14.05,15.39887984,35.85547467,76.3444253,#DIV/0!,19.90040878,42.37247688
33,45923,LMF,,23,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,,14.63333333,15.95555556,25.48462053,39.5760168,65.06063734,3.73342151,6.311693175,10.04511468,138.7786058,31.95550291,2.296568085,14.63333333,15.43719608,21.42689539,72.08274101,#DIV/0!,11.89229765,40.00716836
34,45950,Genetic bank,Jorge Penafiel,24,F25-1667,CIAT-9578,Dioclea,sericea,Dioclea sericea,Fabaceae,Fabales,Climber,OT-008,"49,50,51",11.88888889,13.98888889,20.86859272,19.87886337,40.74745609,2.481900029,2.778834338,5.260734367,85.66407173,30.81036326,3.594194215,11.88888889,12.91964834,11.05971045,36.10561175,-243.9062961,6.138330642,20.03923919
35,45950,Genetic bank,Jorge Penafiel,24,F25-1670,CIAT-13158,Desmodium,strigillosum,Desmodium strigillosum,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",12.54444444,14.2,30.03525939,31.81150132,61.8467607,3.770948666,4.512167201,8.283115867,132.1982151,48.81881993,3.693715332,12.54444444,13.39642409,17.70513391,36.31962442,-2258.693603,9.826655639,20.15801992
36,45950,Genetic bank,Jorge Penafiel,24,F25-1671,CIAT-13329,Desmodium,cajanifolium,Desmodium cajanifolium,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",12.78888889,14.12222222,44.03525939,40.97816798,85.01342737,5.630891955,5.789170838,11.42006279,180.4319405,62.48067368,3.472437655,12.78888889,13.44006573,24.23789076,38.87558954,169.6502176,13.45244871,21.57662478
37,45950,Genetic bank,Jorge Penafiel,24,F25-1672,CIAT-13387,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",11.46666667,14.93333333,18.55904434,11.50091174,30.05995609,2.124396206,1.716910686,3.841306892,64.89096166,23.44706489,3.597626547,11.425,12.77240441,8.292292431,37.58021367,-93.9561209,4.602365764,20.85766876
38,45950,Genetic bank,Jorge Penafiel,24,F25-1673,CIAT-13547,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",11.86666667,14.83333333,22.36859272,26.64483465,49.01342737,2.67644615,3.952859271,6.629305421,103.3419029,33.02424196,3.183948302,11.86666667,13.50117812,13.97756803,43.63067255,-1199.49998,7.757792083,24.21577812
39,45950,Genetic bank,Jorge Penafiel,24,F25-1674,CIAT-13953,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",13.43333333,17.02222222,36.81303716,36.58927909,73.40231626,4.957530166,6.228612025,11.18614219,157.8838372,59.37083491,3.762868344,13.43333333,15.2410426,24.06067444,40.67990298,77.67598966,13.35409059,22.57804996
40,45950,Genetic bank,Jorge Penafiel,24,F25-1675,CIAT-15086,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,OT-008,"49,50,51",13.17777778,15.64444444,40.20192605,40.81150132,81.01342737,5.30552841,6.385808503,11.69133691,170.3025831,54.00918738,3.171723384,13.17777778,14.42803723,24.57696437,45.59927824,269.1964134,13.64064043,25.30838834
41,45950,Genetic bank,Jorge Penafiel,24,F25-1676,CIAT-17403,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",12.36666667,13.07777778,24.05904434,14.50091174,38.55995609,2.945278252,1.882623986,4.827902238,82.04884743,24.99430079,3.052091875,12.225,12.50978839,10.27293872,43.13153794,-30.51228658,5.701658721,23.93874977
42,45950,Genetic bank,Jorge Penafiel,24,F25-1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",9.566666667,10.05555556,26.86859272,24.47816798,51.3467607,2.573858241,2.449723722,5.023581964,108.6152244,49.51387797,4.609609374,9.566666667,9.771995657,10.62656335,21.59670303,-909.7573945,5.897926508,11.98654383
43,45950,Genetic bank,Jorge Penafiel,24,F25-1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",9.711111111,12.98888889,18.92414828,23.86705687,42.79120515,1.851797243,3.088626824,4.940424066,90.30265441,37.41640609,4.139538187,9.711111111,11.53748526,10.42568711,27.97266537,-105.3725049,5.786436722,15.52531323
44,45950,Genetic bank,Jorge Penafiel,24,F25-1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",11.3,14.88888889,22.20192605,31.25594576,53.45787181,2.53167389,4.655991894,7.187665784,112.9742965,38.26826093,3.402153125,11.3,13.39836828,15.19011845,40.83443332,-21.33150651,8.430778547,22.66381697
45,45950,Genetic bank,Jorge Penafiel,24,F25-1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",11.86666667,15.01111111,26.09081494,35.97816798,62.06898292,3.096387953,5.403667136,8.500055088,133.6908364,43.68847611,3.266092324,11.86666667,13.6850911,18.30832588,43.01781805,290.4547101,10.16143762,23.87563327
46,45950,Genetic bank,Jorge Penafiel,24,F25-1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,"49,50,51",11.98888889,14.91111111,28.92414828,33.81150132,62.73564959,3.471518905,5.04005772,8.511576625,133.1487743,42.01204617,3.158249669,11.98888889,13.56905772,18.0648079,43.52788637,-653.5064429,10.02628092,24.15873001
47,45950,Genetic bank,Jorge Penafiel,24,F25-1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",14.24444444,18.47777778,29.97970383,39.70039021,69.68009404,4.273705147,7.335610519,11.60931567,147.9851689,53.01845997,3.586615615,14.24444444,16.65743778,24.65555964,47.25978692,-289.866865,13.68426217,26.22999939
48,45950,Genetic bank,Jorge Penafiel,24,F25-1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",12.02222222,14.44444444,24.86859272,27.47816798,52.3467607,2.990615973,3.969016308,6.959632281,111.6588043,36.1266249,3.234488463,12.02222222,13.29548483,14.84520937,41.78835998,-446.8113957,8.239348039,23.19326277
