33_sample_serial_no,33_date,33_requisitioner,33_requisitioner_2,33_set_ciat,33_ciat_lab_id,33_gene_bank_breeding_program_id,33_genus,33_species,33_tax_name,33_family,33_order,33_functional_group,33_ot,33_remarks,33_ch4_8h_percentage,33_ch4_24h_percentage,33_net_gas_8h_ml,33_net_gas_8_24h_ml2,33_net_gas_24h_ml,33_ch4_8h_ml,33_ch4_8_24h_ml,33_ch4_24h_ml,33_gas_ml_g_dm_incubated_24h,33_percentage_dmd_truly_digestibility,33_part_fact,33_ch4_ml_in_gas_8h,33_ch4_ml_in_gas_24h,33_ch4_ml_g_dm_incubated_24h,33_ch4_ml_g_dmd_24h,33_ch4_ml_g_ndf_digested_in_24h,33_ch4_g_g_dm_incubated_24h,33_ch4_g_g_dmd_24h
49,45950,Genetic bank,Jorge Penafiel,24,F25-1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",13.37777778,15.6,47.53525939,46.47816798,94.01342737,6.36808254,7.252676851,13.62075939,200.9582515,62.52269011,3.111556763,13.37777778,14.48844681,29.11503483,47.06709134,34.0074659,16.15934805,26.12305
50,45950,Genetic bank,Jorge Penafiel,24,F25-1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",12.96666667,16,49.20192605,44.86705687,94.06898292,6.392059837,7.175331881,13.56739172,196.9967107,61.02546491,3.100639877,12.96666667,14.41717937,28.41237454,46.87658148,149.3294295,15.76935943,26.01731374
51,45950,Genetic bank,Jorge Penafiel,24,F25-1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,"49,50,51",13.46666667,14.46666667,39.75748161,46.08927909,85.8467607,5.356741687,6.667180063,12.02392175,183.1507802,64.41800016,3.519191557,13.46666667,14.00690238,25.65262329,40.32299629,-702.0666143,14.23764974,22.37996057
52,45950,Genetic bank,Jorge Penafiel,24,F25-1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",11.48888889,13.96666667,23.53525939,19.97816798,43.51342737,2.713534693,2.791014922,5.504549615,92.84879614,30.55808054,3.302064833,11.48888889,12.64327278,11.74557252,40.97660648,-252.1196025,6.518995959,22.74272553
53,45950,Genetic bank,Jorge Penafiel,24,F25-1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",10.78888889,13.82222222,27.1463705,29.81150132,56.95787181,2.932021071,4.119889818,7.051910889,119.9854546,37.13010339,3.096020685,10.78888889,12.37986751,14.85532362,41.17280759,1342.548177,8.244961622,22.85162055
54,45950,Genetic bank,Jorge Penafiel,24,F25-1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",13.92222222,17.76666667,40.81303716,43.03372354,83.8467607,5.700568962,7.645138079,13.34570704,179.0645942,57.80911493,3.231600193,13.92222222,15.90576859,28.5012382,49.67450594,2605.144885,15.8186803,27.57021022
55,45950,Genetic bank,Jorge Penafiel,24,F25-1690,CIAT-22409,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",14.55555556,17.8,27.97970383,39.31150132,67.29120515,4.079405512,6.99813056,11.07753607,146.3207875,43.42507773,2.974118551,14.6875,16.50237665,24.1581476,57.2425888,1713.10227,13.40818988,31.77062714
56,45950,Genetic bank,Jorge Penafiel,24,F25-1691,CIAT-22692,Lablab,purpureus,Lablab purpureus,Fabaceae,Fabales,Climber,OT-008,"49,50,51",14.08888889,17.03333333,46.81303716,51.58927909,98.40231626,6.607597268,8.785224107,15.39282137,213.1521846,59.54177769,2.795381941,14.08888889,15.64212565,33.3429492,56.37881169,-1368.910636,18.50591367,31.2912159
57,45950,Genetic bank,Jorge Penafiel,24,F25-1692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",,,,,,,,,,,,,,,,,,
58,45950,Genetic bank,Jorge Penafiel,24,F25-1693,CIAT-23746,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",11.81111111,14.74444444,23.09081494,30.08927909,53.18009404,2.749043243,4.435018174,7.184061417,111.6700618,31.72084634,2.847569193,11.6,13.39974404,14.97720475,50.6173663,1.953618026,8.312607755,28.09351403
59,45950,Genetic bank,Jorge Penafiel,24,F25-1694,CIAT-23985,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",14.67777778,17.11111111,37.25748161,30.42261243,67.68009404,5.482387857,5.204957975,10.68734583,142.1728645,50.91431896,3.599880154,14.67777778,15.77777819,22.45045077,45.87432971,-13125.72113,12.46038859,25.46104666
60,45950,Genetic bank,Jorge Penafiel,24,F25-1695,CIAT-32265,Chamaecrista,diphylla,Chamaecrista diphylla,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",9.588888889,17.55555556,39.97970383,41.03372354,81.01342737,3.858114482,7.199930085,11.05804457,169.0456319,48.43666082,2.876091244,9.588888889,13.64560479,23.07416375,49.519858,1098.761459,12.80656009,27.48437794
61,45950,Genetic bank,Jorge Penafiel,24,F25-1696,CIAT-33070,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",11.83333333,14.71111111,37.53525939,31.97816798,69.51342737,4.446024077,4.705106237,9.151130315,144.7434152,41.3041822,2.858093359,11.83333333,13.16202736,19.05485559,47.68894574,551.7749069,10.57577452,26.46818995
62,45950,Genetic bank,Jorge Penafiel,24,F25-1697,CIAT-33079,Desmodium,oblongum,Desmodium oblongum,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",14.23333333,17.87777778,44.53525939,32.81150132,77.3467607,6.351772939,5.864617218,12.21639016,161.671855,55.26848368,3.421343568,14.23333333,15.79080758,25.53497369,46.9995258,820.4869418,14.17235218,26.08554996
63,45950,Genetic bank,Jorge Penafiel,24,F25-1698,CIAT-33131,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,"49,50,51",11.45555556,13.5,25.83525939,24.47816798,50.31342737,2.968965255,3.303303366,6.272268621,106.05305,34.63041159,3.270627192,11.54285714,12.49765387,13.2604733,39.35874281,-164.4449886,7.359792102,21.84478321
64,45950,Genetic bank,Jorge Penafiel,24,F25-1699,CIAT-33195,Dalea,carthagenensis,Dalea carthagenensis,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",12.85555556,18.15555556,37.53525939,47.92261243,85.45787181,4.833118329,8.688839365,13.52195769,178.4508333,50.64963757,2.859175629,12.85555556,15.81694606,28.23619195,57.79905872,1025.83249,15.67157505,32.07947757
65,45950,Genetic bank,Jorge Penafiel,24,F25-1700,CIAT-43055,Desmodium,discolor,Desmodium discolor,Fabaceae,Fabales,Herbaceous,OT-008,"49,50,51",14.98888889,16.34444444,44.75748161,36.53372354,81.29120515,6.718185991,5.970925127,12.68911112,171.3525489,59.08154784,3.447970441,14.98888889,15.60669083,26.74721808,45.85382781,19.57146456,14.84516879,25.44966775
66,45950,LMF,,24,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,,,,OT-002,"49,50,51",14.11111111,16.07777778,24.86859272,27.81150132,52.68009404,3.508479903,4.468681713,7.977161616,230.4515706,48.43003667,2.103774009,14.11111111,15.14763949,34.89662925,72.65080077,#DIV/0!,19.36823298,40.32245136
67,45950,LMF,,24,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"49,50,51",13.84444444,15.71111111,21.75748161,38.08927909,59.8467607,2.998531061,5.980827509,8.97935857,127.6417127,28.69297394,2.337327713,13.84444444,15.03021891,19.15117697,74.88264351,#DIV/0!,10.62923456,41.5611627
68,45950,LMF,,24,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,,,,OT-001,"49,50,51",13.13333333,15.5,20.73289809,44.23580969,64.96870777,2.718198393,6.856550501,9.574748895,135.4920759,41.62903973,3.072460302,13.13333333,14.74156485,19.95868557,48.035853,#DIV/0!,11.0774158,26.66072948
69,45959,Benchmark,Alejandra Marín,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,OT-018,"52,53,54",12.86666667,13.7595679,36.40498273,43.51358746,79.9185702,4.68322792,5.999444802,10.68267272,164.848116,39.34084924,2.38923976,12.86666667,13.34190217,22.03507962,57.00519829,360.6191775,12.22985042,31.6388713
70,45959,Benchmark,Alejandra Marín,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,"52,53,54",13,14.4,35.34942718,52.29136524,87.64079242,4.593577617,7.473343057,12.06692067,181.0064968,53.35431776,2.973888133,13,13.79939679,24.92233209,46.81434447,162.0745061,13.83232549,25.98277112
71,45959,Benchmark,Alejandra Marín,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,OT-018,"52,53,54",13.06666667,14.06666667,35.43607609,56.06099166,91.49706775,4.642652836,7.895107631,12.53776047,190.315553,46.34282472,2.439894669,13.1,13.69567196,26.07862819,58.90952186,410.767812,14.47408983,32.69580383
72,45959,Benchmark,Alejandra Marín,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,OT-018,"52,53,54",12.76666667,14.24444444,37.79387162,48.3469208,86.14079242,4.826709454,6.88707579,11.71378524,177.619879,52.77459147,2.975183866,12.76666667,13.59527606,24.15341726,46.25125242,370.3805046,13.40556446,25.67024529
73,45959,Benchmark,Alejandra Marín,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,OT-018,"52,53,54",13.66666667,14.24444444,35.23831607,49.8469208,85.08523687,4.815770278,7.103397803,11.91916808,174.643951,45.87790843,2.638720115,13.66666667,14.0041345,24.4649589,54.66416276,488.1325012,13.57847546,30.33955608
74,45959,Benchmark,Alejandra Marín,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,OT-018,"52,53,54",12.74444444,15.43333333,38.90498273,43.56914302,82.47412575,4.957299189,6.722743773,11.68004296,169.066855,44.75823277,2.651960982,12.74444444,14.16077786,23.94336185,54.15299762,-1644.817403,13.28898007,30.05585058
75,45959,Benchmark,Alejandra Marín,25,F252566,Paja Sabana Madura,,,,Poaceae,Poales,grasses,OT-028,"52,53,54",12.63333333,14.44444444,12.32435839,16.24927397,28.57363236,1.545936025,2.337798018,3.883734042,61.82400926,13.12574807,2.121240925,12.5625,13.59973079,8.403088105,65.0093354,-98.41566099,4.663859281,36.08130588
76,45959,Benchmark,Alejandra Marín,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,OT-028,"52,53,54",13.51111111,13.88888889,13.57435839,40.12427397,53.69863236,1.828367441,5.55602026,7.384387701,116.379089,24.09087535,2.071206757,13.475,13.75203835,16.00393137,68.01160558,79.90580533,8.882458793,37.74761777
77,45959,Benchmark,Alejandra Marín,25,F252568,Sabana Quemada,,,,Poaceae,Poales,grasses,OT-028,"52,53,54",12.15555556,14.22222222,8.074358391,14.24927397,22.32363236,0.989102656,2.017583857,3.006686513,47.67756984,13.51059682,2.839940318,12.2,13.46025205,6.421497652,52.52121037,-127.0949737,3.564042296,29.15018043
78,45959,Genetic bank,Juan José Gonzalez,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.25555556,14.76666667,40.90498273,55.06914302,95.97412575,5.015895522,8.129615182,13.1455107,213.8183604,48.41513149,2.258348801,12.25555556,13.69657421,29.28655183,64.90893857,-36.79085019,16.25454296,36.0255839
79,45959,Genetic bank,Juan José Gonzalez,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.24444444,15.16666667,38.18276051,43.06914302,81.25190353,4.686953153,6.529124812,11.21607797,179.9796633,54.19710278,4.779160956,12.24444444,13.73095003,24.84462962,45.93918617,113.9424425,13.78919928,25.49704312
80,45959,Genetic bank,Juan José Gonzalez,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.25555556,15.32222222,37.34942718,41.73580969,79.08523687,4.577736484,6.393095056,10.97083154,170.291978,39.49693335,2.322680702,12.25555556,13.87408028,23.62316979,63.04565337,-1263.126538,13.11126794,34.99142837
81,45959,Genetic bank,Juan José Gonzalez,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.48888889,14.6,35.51609385,40.91358746,76.42968131,4.433147831,5.968116053,10.40126388,163.597982,47.71197341,2.917364937,12.48888889,13.61080274,22.26392001,46.84200522,685.5084495,12.3568608,25.99812332
82,45959,Genetic bank,Juan José Gonzalez,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.53333333,14.38888889,39.62720496,48.90247635,88.52968131,4.967569497,7.030203401,11.9977729,190.2529969,50.5464158,2.653696838,12.53333333,13.55517118,25.78358047,52.78302261,-378.4890615,14.31033325,29.29549075
83,45959,Genetic bank,Juan José Gonzalez,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.8,15.54444444,40.84942718,47.45803191,88.30745909,5.2318007,7.372179162,12.60397986,189.4335941,51.86767273,2.738898754,12.8,14.27271337,27.0375686,52.6989057,-1213.697428,15.00631835,29.24880441
84,45959,Genetic bank,Juan José Gonzalez,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.91111111,15.26666667,35.62720496,38.95803191,74.58523687,4.601966236,5.942463809,10.54443004,161.3935077,45.72625216,2.83952902,12.91111111,14.13775186,22.81689314,51.65079188,-859.2993354,12.66377045,28.66708311
85,45959,Genetic bank,Juan José Gonzalez,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.88888889,16,39.12720496,46.45803191,85.58523687,5.038841242,7.430208363,12.46904961,186.3546151,45.06607534,2.422794444,12.88888889,14.56782104,27.15030532,62.33488292,193.2573259,15.06888918,34.59693848
86,45959,Genetic bank,Juan José Gonzalez,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",13.07777778,15,38.18276051,47.62469858,85.80745909,4.987551067,7.14375743,12.1313085,184.6977956,58.15391332,3.151376645,13.07777778,14.13847651,26.11226639,45.54324189,147.7347759,14.49275962,25.2772872
87,45959,Genetic bank,Juan José Gonzalez,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.84444444,15.57777778,41.01609385,50.45803191,91.47412575,5.259257356,7.854487427,13.11374478,199.063459,52.76180533,2.662071983,12.84444444,14.33890192,28.53776575,56.22814548,49.3639309,15.83895373,31.20759355
88,45959,Genetic bank,Juan José Gonzalez,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.5,15.77777778,40.5716494,50.45803191,91.02968131,5.069453669,7.957214181,13.02666785,199.4667573,49.49204092,2.483029087,12.5,14.31108125,28.54444886,59.02430776,1973.297562,15.84266297,32.75951199
89,45959,Genetic bank,Juan José Gonzalez,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.25555556,14.42222222,31.62720496,43.8469208,75.47412575,3.874375791,6.319214157,10.19358995,163.711464,41.97188455,2.567604279,12.25555556,13.50823155,22.11101959,55.16018606,154.9133653,12.27199842,30.61485759
90,45959,Genetic bank,Juan José Gonzalez,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.13333333,12.3,30.79387162,38.01358746,68.80745909,3.730099279,4.674246545,8.404345823,150.3463226,43.3112778,2.86947928,12.13333333,12.21489955,18.36374395,43.95346206,142.2371207,10.19219561,24.39493189
91,45959,Genetic bank,Juan José Gonzalez,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.15555556,14.2,37.51609385,45.12469858,82.64079242,4.548766081,6.407186091,10.95595217,179.5314137,49.47236247,2.767790714,12.15555556,13.26078572,23.80104556,51.7032025,359.9674519,13.20999207,28.69617191
92,45959,Genetic bank,Juan José Gonzalez,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.24444444,14.67777778,38.29387162,42.3469208,80.64079242,4.684078713,6.215701465,10.89978018,177.8123732,41.8364904,2.362466503,12.24444444,13.51651576,24.03394919,61.7720342,459.0172918,13.33925761,34.2845477
93,45959,Genetic bank,Juan José Gonzalez,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",13.2,15.84444444,40.90498273,44.62469858,85.52968131,5.393072849,7.072163964,12.46523681,188.5230428,44.09270462,2.342137245,13.2,14.57577458,27.4756957,64.94267328,-919.6264843,15.24948647,36.04430725
94,45959,Genetic bank,Juan José Gonzalez,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.7,15.62222222,42.51609385,45.3469208,87.86301464,5.394830296,7.091389013,12.48621931,190.8140248,52.53071063,2.828945381,12.7,14.18608552,27.11660756,53.43303739,-288.6553269,15.05018634,29.6562602
95,45959,Genetic bank,Juan José Gonzalez,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",13.21111111,15.54444444,37.68276051,43.56914302,81.25190353,4.971552983,6.764959932,11.73651292,175.9870838,41.60903407,2.387653862,13.21111111,14.45524014,25.42066469,64.59826505,-90.51238944,14.10890871,35.85315472
96,45959,Genetic bank,Juan José Gonzalez,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.55555556,15.26666667,40.46053829,43.62469858,84.08523687,5.078698103,6.657249026,11.73594713,183.1114254,47.54637187,2.594624946,12.55555556,13.95612492,25.55725583,56.10514196,26.01357988,14.18471915,31.13932447
97,45959,Genetic bank,Juan José Gonzalez,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033,"52,53,54",12.24444444,14.35555556,38.82435839,41.81177397,80.63613236,4.704970469,6.020511626,10.7254821,176.4343249,40.47733929,2.281240966,12.15,13.30615614,23.46766998,62.22263642,159.7168021,13.02496285,34.53463973
98,45959,LMF-invivo,Isabel Molina,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,,,,,"52,53,54",15.8,15.03333333,23.18276051,32.3469208,55.52968131,3.650278097,4.876139445,8.526417542,136.6708553,29.35419608,2.14509413,15.66666667,15.44546051,21.10880552,81.06434215,270.7122247,11.71575227,44.99211239
99,45959,LMF-invivo,Isabel Molina,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,,,,,"52,53,54",12.94444444,14.53333333,29.90498273,31.45803191,61.36301464,3.865978447,4.574201705,8.440180152,138.0916385,28.4992703,2.076670411,13,13.79721503,19.04294169,70.77941969,-3.785390136,10.5691621,39.28380249
