22_no,22_date,22_requisitioner,22_set_ciat,22_ciat_lab_id,22_gene_bank_breeding_program_id,22_genus,22_species,22_tax_name,22_family,22_order,22_functional_group,22_batches_ciat,22_id_lab,22_replication,22_av_dm_105,22_av_pc_percentage
197,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,27.74472182,27.74472182
198,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,27.74472182,
199,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,26.98075692,26.98075692
200,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,26.98075692,
201,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,18.22528988,18.22528988
202,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,18.22528988,
203,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,18.14271529,18.14271529
204,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"62,63,70",OT-031 (2025),,18.14271529,
205,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,13.60322728,13.4971577
206,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,13.39108811,
207,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,26.64170878,26.64170878
208,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,26.64170878,
209,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,23.16338663,23.16222903
210,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,23.16107144,
211,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,16.2936559,16.2936559
212,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,16.2936559,
213,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,20.56824412,20.56824412
214,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,20.56824412,
215,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,25.5636915,25.5636915
216,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,25.5636915,
217,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,24.70704998,24.70704998
218,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,24.70704998,
219,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,22.3628054,22.3628054
220,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,22.3628054,
221,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,23.28788448,23.28788448
222,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,23.28788448,
223,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,22.86358872,22.86358872
224,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,22.86358872,
225,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,32.50938499,32.4648997
226,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,"62,63,70",OT-031 (2025),,32.42041442,
227,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),,16.813217,16.813217
228,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,"62,63,70",OT-008 (2025),,16.813217,
229,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),,,
230,46055,Genbank,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"62,63,70",OT-002 (2025),,,
231,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,18.34283136,18.46960616
232,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,18.59638097,
233,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,22.84205672,22.84205672
234,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,22.84205672,
235,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.61626081,21.61626081
236,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.61626081,
237,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.4350367,21.4350367
238,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.4350367,
239,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,16.06877613,16.06877613
240,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,16.06877613,
241,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,11.38570084,11.38570084
242,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,11.38570084,
243,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,17.41588153,17.41588153
244,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,17.41588153,
245,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.55350622,21.55350622
246,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.55350622,
247,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,23.42333436,23.42333436
248,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,23.42333436,
249,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,24.38627131,24.27463689
250,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,24.16300248,
251,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,17.22808905,17.22808905
252,46062,#REF!,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,17.22808905,
253,#REF!,#REF!,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.86273111,21.86273111
254,#REF!,#REF!,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.86273111,
255,#REF!,#REF!,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.65767298,21.65767298
256,#REF!,#REF!,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,21.65767298,
257,#REF!,#REF!,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.31614144,20.31614144
258,#REF!,#REF!,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.31614144,
259,#REF!,#REF!,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.34431216,20.34431216
260,#REF!,#REF!,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.34431216,
261,#REF!,#REF!,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,15.85300644,15.85300644
262,#REF!,#REF!,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,15.85300644,
263,#REF!,#REF!,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.05227466,20.05227466
264,#REF!,#REF!,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,20.05227466,
265,,,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,19.32230436,19.32230436
266,,,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,19.32230436,
267,,,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,24.93033588,24.93033588
268,,,30,F260031,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,"64,65,71",OT-002(2026),,24.93033588,
269,,,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,26.7015145,26.817681
270,,,30,F260032,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,26.9338475,
271,,,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,14.64673735,14.64673735
272,,,30,F260033,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,14.64673735,
273,,,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,18.61665369,18.61665369
274,,,30,F260034,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,18.61665369,
275,,,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,19.83297352,19.83297352
276,,,30,F260035,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,19.83297352,
277,,,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,21.37591113,21.37591113
278,46062,Genbank,30,F260036,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,21.37591113,
279,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,28.7937842,28.7937842
280,46062,Genbank,30,F260037,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,28.7937842,
281,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,25.52109302,25.52109302
282,46062,Genbank,30,F260038,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,25.52109302,
283,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,18.3249602,18.3249602
284,46062,Genbank,30,F260039,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,18.3249602,
285,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,15.86640488,16.19449371
286,46062,Genbank,30,F260040,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,16.52258254,
287,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,19.05313828,19.05313828
288,46062,Genbank,30,F260041,CIAT23767,Desmodium,nicaraguense,Desmodium nicaraguense,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,19.05313828,
289,46062,Genbank,30,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,13.66830468,13.66206871
290,46062,Genbank,30,F260042,CIAT33127,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,"64,65,71",OT-002(2026),,13.65583273,
291,46062,Breeding,30,F252104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,"64,65,71",OT-013(2025),,12.27,12.225
292,46062,Breeding,30,F252104,CIAT-BR06_1348,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,"64,65,71",OT-013(2025),,12.18,
293,46062,Breeding,30,F252166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"64,65,71",OT-020(2025),,8.73,8.765
294,46062,Breeding,30,F252166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"64,65,71",OT-020(2025),,8.8,
295,46062,Jacobo Arango/ Alejandro Montoya,30,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"64,65,71",OT-001(2025),,13.1,13.1
296,46062,Jacobo Arango/ Alejandro Montoya,30,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,"64,65,71",OT-001(2025),,13.1,
