Obs_CH4_DMD,predCH4_Gas_DMD,gas_DMD,,Obs_CH4_DMD,predCH4_log_FP,log_FP,,Obs_CH4_DMI,predCH4_Gas_DMI,gas_DMI
36.94343786,42.52348298,261.4464003,,36.94343786,42.49334493,0.582926707,,32.01257367,27.03155322,170.3511938
50.4200017,58.50803577,365.2092857,,50.4200017,58.89474352,0.43932286,,29.74680924,27.82070104,175.0199264
50.22856478,54.76563584,340.915693,,50.22856478,55.0706244,0.465851092,,19.88500806,21.37219923,136.869494
46.60779238,46.24520089,285.6057367,,46.60779238,45.83618472,0.544627818,,20.83943355,21.24504337,136.1172183
52.26503186,49.64562385,307.6794039,,52.26503186,49.30415639,0.511751306,,21.90746682,22.36033422,142.7154685
43.29464125,42.33861596,260.2463457,,43.29464125,40.58615181,0.609949125,,17.75097536,19.23361666,124.2172761
34.7881529,39.84254205,244.043213,,34.7881529,40.40606455,0.612810563,,18.34372247,19.63962802,126.6193083
49.56558831,54.20691926,337.2888136,,49.56558831,53.5232868,0.477361879,,19.56811603,20.85478572,133.8083878
38.16587888,38.57805461,235.8348591,,38.16587888,39.49323618,0.628496877,,24.68327403,21.98192777,140.4767517
50.24145575,52.27836078,324.7696775,,50.24145575,52.73523271,0.483427087,,29.2336436,28.51369149,179.1197757
42.51671563,44.81221141,276.3035607,,42.51671563,43.96519932,0.564993612,,18.45282315,16.65348593,108.9527843
51.22049906,57.99277422,361.8644924,,51.22049906,57.37844037,0.44954587,,32.55389379,29.49103443,184.9019026
47.46914801,42.02565676,258.2147875,,47.46914801,42.14292642,0.587518481,,23.24924617,23.36246622,148.6442517
53.01768122,50.42489205,312.7379825,,53.01768122,50.10881506,0.504794884,,16.27211448,18.51914895,119.9903638
54.17824002,47.13134272,291.3580799,,54.17824002,46.20108969,0.540905404,,27.04252615,25.14475232,159.1885591
54.47579572,58.31195621,363.9364455,,54.47579572,59.45045281,0.435663813,,22.0693308,24.660374,156.3228947
34.19370223,32.84953619,198.6484824,,34.19370223,36.87604464,0.703001356,,29.33549193,27.46050909,172.8889696
51.55721765,47.33930139,292.7080327,,51.55721765,47.85335167,0.524876505,,20.66874773,21.83559342,139.6110128
45.45268969,50.69743241,314.507164,,45.45268969,49.92145335,0.506395706,,25.21572231,25.45523784,161.0254442
44.5012621,40.61960826,249.0874974,,44.5012621,40.93089822,0.604647254,,21.82471816,24.38034695,154.666207
49.23770162,44.31958024,273.1056714,,49.23770162,44.04641892,0.564058977,,20.54398093,19.51254276,125.8674503
49.18474562,43.34632529,266.7878379,,49.18474562,43.2236344,0.573778442,,25.69714895,25.15617675,159.256148
55.11822116,47.42315355,293.2523546,,55.11822116,46.8987546,0.533980823,,23.88830215,20.74807288,133.1770565
43.21309733,40.14878229,246.0311554,,43.21309733,40.60580686,0.609640794,,25.58822172,22.14248277,141.4266223
39.74486426,37.59913116,229.4802289,,39.74486426,38.89033052,0.640279764,,25.49114839,22.69997288,144.7248285
39.35711835,41.4745026,254.6369992,,39.35711835,41.22730688,0.600256167,,24.95324093,26.1551825,165.1664357
66.82458407,64.11529432,401.6085102,,66.82458407,64.95702972,0.401572962,,28.46055309,27.09261747,170.7124603
37.31381978,39.92688759,244.5907376,,37.31381978,40.02633601,0.61907653,,26.84774345,28.08958743,176.610704
46.9335207,47.21667218,291.9119916,,46.9335207,44.16582203,0.562694181,,21.84876879,23.12593412,147.2448876
43.52680643,45.61232741,281.4974717,,43.52680643,45.12071535,0.552146859,,34.37267522,33.7024692,209.8174663
43.20218015,43.56305068,268.1946995,,43.20218015,43.08560934,0.575467114,,28.25525748,27.38119475,172.4197325
24.78588428,27.79491095,165.836648,,24.78588428,38.21431506,0.813302806,,21.61568115,20.71946006,133.0077781
50.72037488,51.53491964,319.9436683,,50.72037488,52.70992706,0.483624281,,32.62709818,32.05734678,200.0846425
45.37225983,47.26069604,292.1977702,,45.37225983,47.09409423,0.532084464,,19.23822407,17.55625449,114.2937165
50.95143878,49.71959745,308.1595997,,50.95143878,49.35970176,0.511264138,,18.86243914,17.11047256,111.6563949
57.35734204,53.11862802,330.2242282,,57.35734204,52.45462242,0.485622481,,23.61970666,24.01320053,152.4941065
31.70993772,34.49880097,209.3545982,,31.70993772,37.22435168,0.685955793,,23.27759645,26.01166946,164.3173882
90.8429576,75.67446356,476.6442507,,90.8429576,75.08356147,0.346625967,,23.370765,26.14135138,165.0846085
52.88948578,56.36307241,351.2853687,,52.88948578,57.07891421,0.451608998,,22.59005096,24.82237224,157.2813038
48.74075811,51.08700502,317.0360541,,48.74075811,50.76638806,0.499262788,,24.30599216,26.70202596,168.4016545
40.47050846,44.02976888,271.2243761,,40.47050846,43.57262099,0.5695859,,24.44257307,23.8359734,151.4456006
48.72615997,62.39781942,390.4596121,,48.72615997,64.58537781,0.403763214,,16.26638912,17.96590373,116.717271
63.98935164,69.22563379,434.7820107,,63.98935164,71.98767397,0.362561742,,16.31013803,22.67960885,144.6043514
41.87144359,37.78243963,230.6701662,,41.87144359,38.91445385,0.639780135,,16.78325289,22.24912358,142.0575275
58.90652469,63.21678282,395.77587,,58.90652469,62.54892432,0.416031974,,21.13549599,18.59356168,120.4306021
41.4906511,46.2908428,285.9020188,,41.4906511,44.72746722,0.556414799,,11.74378799,12.61984557,85.08908259
42.48540368,45.95543914,283.7247635,,42.48540368,45.43354696,0.548821757,,17.55486466,19.44538571,125.4701378
48.61358187,49.48034077,306.6064774,,48.61358187,49.21234407,0.512558903,,23.42580894,25.01849,158.4415698
48.93500532,50.89575608,315.7945716,,48.93500532,46.32632043,0.539644315,,24.03786735,23.42524886,149.0156845
53.35416899,54.24538494,337.5385116,,53.35416899,54.03606355,0.473491025,,19.98026265,17.95206785,116.6354156
31.83660477,30.13790329,181.0460598,,31.83660477,36.63908612,0.742252692,,24.42004,25.95676114,163.9925413
36.43692643,36.57840226,222.8542208,,36.43692643,38.34387709,0.652408937,,30.18893843,27.17008525,171.1707729
36.64236954,37.49327815,228.7930897,,36.64236954,38.6847158,0.644651128,,24.60171558,23.25348752,147.9995152
42.9692466,40.59208759,248.9088485,,42.9692466,40.79070776,0.606776681,,22.86414547,25.0119106,158.4026449
35.43436857,37.09957223,226.2373683,,35.43436857,38.61554243,0.64617041,,22.3308328,23.4108659,148.9305924
39.07768747,40.45349834,248.0092036,,39.07768747,40.86561054,0.605634563,,18.21498292,20.06811446,129.1543069
40.1140517,40.17807431,246.221303,,40.1140517,40.5966189,0.609784831,,21.65639288,23.07394545,146.9373138
38.02776209,36.22749469,220.5763228,,38.02776209,38.06890066,0.659248837,,23.79404688,23.71918498,150.7546605
47.06289764,43.1746732,265.6735674,,47.06289764,42.93556987,0.577323365,,23.55101211,19.70091686,126.9819035
34.28266977,34.23574603,207.6469908,,34.28266977,37.17211204,0.688110725,,24.6541427,20.52793865,131.874705
70.97066678,71.06562439,446.7262131,,70.97066678,67.87715865,0.384840958,,23.05219947,18.62119235,120.5940699
39.39675804,37.469447,228.638391,,39.39675804,38.77783204,0.642645683,,23.10899216,24.2752845,154.0446398
68.03125399,70.14071561,440.7222163,,68.03125399,72.46774191,0.360046201,,19.28564295,18.47405495,119.72358
47.75477299,53.26097771,331.1482837,,47.75477299,53.20809627,0.479770388,,23.84878448,25.53096832,161.4734786
40.88064539,42.57130923,261.7568618,,40.88064539,42.17002465,0.587158286,,19.75600502,19.00889801,122.8878024
60.23094275,65.63993901,411.5056613,,60.23094275,67.73042893,0.385662549,,25.73154351,25.21198208,159.5863018
50.82738418,39.64216665,242.7424865,,50.82738418,40.29335176,0.614636248,,31.24410274,23.61297378,150.126297
43.23141221,37.87602516,231.2776718,,43.23141221,39.09377289,0.636145752,,33.30905861,23.08405601,146.9971296
45.4542608,49.63870433,307.6344862,,45.4542608,48.70462731,0.517079038,,24.1884174,20.31358644,130.6065609
45.1294384,40.5439761,248.5965353,,45.1294384,40.90757927,0.604999029,,23.76990102,23.70964093,150.6981963
54.41194986,47.08829745,291.0786538,,54.41194986,46.61374538,0.536780332,,19.29504962,15.48384824,102.033009
54.38707133,48.73606216,301.7750319,,54.38707133,47.98097328,0.523689139,,34.56497717,28.66027981,179.9870171
59.51626446,52.83983317,328.414446,,59.51626446,52.27980599,0.487000029,,12.82854272,10.22726399,70.9341634
58.25749703,51.45982378,319.4561875,,58.25749703,51.09122573,0.496577436,,34.3205787,28.77285419,180.6530262
38.74068246,37.99444364,232.0463791,,38.74068246,37.24976089,0.684941548,,31.82553127,27.07729283,170.6217971
54.88118786,48.31773437,299.059479,,54.88118786,47.87556298,0.524669372,,29.31313901,26.4937517,167.1694687
44.01892,45.52331917,280.9196795,,44.01892,44.22439593,0.562028623,,20.60930421,20.90392587,134.0991092
64.56952557,57.98691923,361.826485,,64.56952557,56.30995443,0.45697581,,31.70955825,35.1185992,218.195532
89.52916338,74.66003711,470.0591546,,89.52916338,73.42024567,0.355104492,,17.10035517,17.30384899,112.8004427
45.10520438,44.33663058,273.2163527,,45.10520438,40.34955679,0.613722406,,27.6686541,28.70599675,180.2574863
70.34303406,66.94411148,419.9716283,,70.34303406,68.54191773,0.38114268,,32.31515309,33.25452305,207.1673408
48.94739166,50.80990686,315.2372859,,48.94739166,50.46023651,0.501822042,,24.02374564,26.47934718,167.084249
52.15527062,49.29727137,305.4180921,,52.15527062,49.00765381,0.514370063,,23.47528542,24.99347815,158.2935954
53.58402717,51.33334729,318.6351721,,53.58402717,50.85871463,0.498496438,,25.13967981,26.86711935,169.3783751
53.6815281,57.35039717,357.6945355,,53.6815281,57.88565035,0.446085884,,21.85063591,23.40112823,148.8729827
46.01431242,50.04871744,310.2960648,,46.01431242,49.19147398,0.51274289,,23.00754798,24.62634151,156.1215527
44.01815237,44.31907787,273.1024103,,44.01815237,44.45687248,0.559412012,,22.16241848,23.40879258,148.9183263
35.75599615,38.89830797,237.913767,,35.75599615,39.74515567,0.623945092,,22.00332048,23.46807336,149.2690415
36.15030967,40.01105375,245.1370978,,36.15030967,40.45838364,0.611972365,,19.780826,22.30086105,142.3636151
44.56775422,47.57924977,294.265645,,44.56775422,46.09846342,0.541945024,,20.84823738,22.11846003,141.2844997
36.05625758,40.74458825,249.8987985,,36.05625758,41.06528671,0.602638252,,17.89666064,17.91995661,116.4454401
44.91457481,45.77769106,282.5709212,,44.91457481,44.97205901,0.553748381,,17.031958,16.87657982,110.2726457
43.98013472,47.24684455,292.107854,,43.98013472,45.10724093,0.552291442,,22.03603185,24.06796099,152.8180786
51.21169886,58.35944214,364.244698,,51.21169886,58.42154554,0.442474763,,19.94742643,19.77270273,127.4066009
55.77262201,56.8808041,354.6461967,,55.77262201,56.49277921,0.455690455,,21.15828047,23.89422776,151.7902433
37.06127543,42.7737902,263.0712565,,37.06127543,42.63276589,0.581138023,,19.10258789,19.76783682,127.3778133
41.66329172,42.98129301,264.4182501,,41.66329172,39.86642842,0.62181947,,17.99068749,17.92910646,116.4995721
49.08065254,55.84374658,347.9141923,,49.08065254,49.92065901,0.506402517,,18.45702725,18.77976173,121.5321933
59.59987178,56.37581295,351.3680732,,59.59987178,54.96100391,0.466650283,,20.67811686,23.41064883,148.9293082
52.60817434,52.30028542,324.9120001,,52.60817434,50.61054608,0.500562039,,20.3586741,20.79851012,133.4754518
39.78898786,41.81708242,256.8608381,,39.78898786,42.09085817,0.588213071,,21.08613927,21.49416907,137.5910883
43.50903541,48.44415346,299.8801219,,43.50903541,47.38940407,0.529250867,,23.89404952,25.97079994,164.0755972
43.15251079,48.63873576,301.1432427,,43.15251079,48.17208085,0.521923517,,23.06372514,25.74783732,162.7565124
49.0358581,47.74254422,295.3256624,,49.0358581,47.31793633,0.529933023,,21.11159119,23.92853966,151.9932384
49.42973751,48.82613201,302.3597156,,49.42973751,48.28449178,0.520891784,,24.7046336,24.63703567,156.1848211
45.19566798,50.80939397,315.2339565,,45.19566798,50.53057393,0.501231575,,21.34725115,21.41202713,137.1051226
44.43421886,51.19672631,317.7483041,,44.43421886,50.80052541,0.498979143,,21.92878314,24.28688314,154.1132593
47.14830808,46.17732488,285.1651232,,47.14830808,45.67296044,0.546316718,,29.98924585,25.00968528,158.3894795
43.70226169,50.7415802,314.793747,,43.70226169,50.14268643,0.504506676,,21.57098058,24.3461075,154.4636407
46.87769488,47.33714713,292.6940484,,46.87769488,46.98193231,0.533171148,,22.87311674,25.53626597,161.5048204
43.89692047,44.58662075,274.8391508,,43.89692047,44.23519778,0.561906165,,21.43210514,23.58478157,149.9595071
50.5653913,49.96126977,309.7284028,,50.5653913,49.64871655,0.508746269,,28.87701726,24.25887858,153.9475795
47.30890563,46.3954766,286.5812436,,47.30890563,46.0763898,0.542169368,,23.32740833,25.74400558,162.7338432
39.6039917,44.64540815,275.2207662,,39.6039917,44.25445355,0.561688082,,19.29973339,22.11389649,141.257501
44.91379576,48.63036293,301.0888909,,44.91379576,48.09580918,0.522626418,,22.53006771,22.18267676,141.6644168
46.71627074,47.10607807,291.1940758,,46.71627074,46.67842708,0.536141528,,22.34771663,25.00208494,158.3445146
