40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
88,45718,Breeding,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,97.30026997,,14.63866584,,85.36133416,,8.834231116,,29.20532204,,64.40928995,
89,45718,Breeding,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,95.12,94.42555189,13.98932353,13.31603681,86.01067647,86.68396319,9.980926223,7.526319867,29.70798149,28.61056023,64.85398573,68.72940855
90,45718,Breeding,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,95.31093781,,14.21753492,,85.78246508,,9.980926223,,29.94649383,,65.06653761,
91,45718,Breeding,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,94.37,94.11,13.30148434,11.5237488,86.69851566,88.4762512,7.526319867,6.425464292,28.67656881,30.14508217,67.49290661,69.15978352
92,45718,Breeding,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,94.48110378,,13.33058929,,86.66941071,,7.526319867,,28.54455165,,69.96591048,
93,45718,Breeding,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,94,95.16621668,11.45468069,11.17239453,88.54531931,88.82760547,6.425464292,5.939448687,29.83002246,30.46611447,68.75694556,69.59254363
94,45718,Breeding,5,F24 3603,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,94.22,,11.59281692,,88.40718308,,6.425464292,,30.46014187,,69.56262149,
95,45718,Breeding,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,95.00149955,95.8156214,11.10355157,12.04215411,88.89644843,87.95784589,5.939448687,6.64642741,30.66293364,28.8604292,69.91192737,69.64533207
96,45718,Breeding,5,F24 3604,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,95.33093381,,11.24123749,,88.75876251,,5.939448687,,30.26929531,,69.27315989,
97,45718,Breeding,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,95.69043096,96.30536946,11.94883981,12.640814,88.05116019,87.359186,6.64642741,8.098687385,28.50012439,29.35547793,69.32874104,68.83461568
98,45718,Breeding,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,95.94081184,,12.13546841,,87.86453159,,6.64642741,,29.22073401,,69.96192311,
99,45718,Breeding,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,96.21037896,96.66535293,12.44873592,14.22808985,87.55126408,85.77191015,8.098687385,7.498562822,29.23820931,28.13819685,68.74402079,65.68321921
100,45718,Breeding,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,96.40035996,,12.83289207,,87.16710793,,8.098687385,,29.47274655,,68.92521056,
101,45718,Breeding,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,96.47070586,96.735,14.13874375,11.91399183,85.86125625,88.08600817,7.498562822,5.470321142,28.1395684,29.53819758,65.64541008,67.77363719
102,45718,Breeding,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,96.86,,14.31743596,,85.68256404,,7.498562822,,28.1368253,,65.72102834,
103,45718,Breeding,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,96.64,97.16070232,11.92949811,13.97849497,88.07050189,86.02150503,5.470321142,8.125850845,29.62300868,28.04747157,67.75778221,66.3853
104,45718,Breeding,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,96.83,,11.89848555,,88.10151445,,5.470321142,,29.45338648,,67.78949217,
105,45718,Breeding,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,97.01059788,96.95029294,13.96375923,10.5197972,86.03624077,89.4802028,8.125850845,5.966437759,28.5241981,26.73881247,66.90032155,68.58525194
106,45718,Breeding,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,97.31080676,,13.9932307,,86.0067693,,8.125850845,,27.57074505,,65.87027845,
107,45718,Breeding,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,96.83,96.78015898,10.45896788,11.69085862,89.54103212,88.30914138,5.966437759,6.11164643,26.78768698,30.80701399,68.86607208,69.99815476
108,45718,Breeding,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,97.07058588,,10.58062652,,89.41937348,,5.966437759,,26.68993796,,68.30443179,
109,45718,Breeding,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,96.74,92.37038196,11.63461614,13.66171032,88.36538386,86.33828968,6.11164643,25.3469484,30.34465841,47.62549013,69.3161333,53.10107125
110,45718,Breeding,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,96.82031797,,11.74710109,,88.25289891,,6.11164643,,31.26936957,,70.68017622,
111,45718,Genetic bank,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,92.36076392,92.37038196,13.75987875,13.66171032,86.24012125,86.33828968,25.3469484,25.3469484,47.64235849,47.62549013,53.47541692,53.10107125
112,45718,Genetic bank,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,92.38,,13.56354189,,86.43645811,,25.3469484,,47.60862178,,52.72672557,
113,45718,Genetic bank,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,92.61073893,92.71608732,9.576765277,9.516947912,90.42323472,90.48305209,17.95515598,17.95515598,35.7671013,35.89620842,68.89257778,69.9050053
114,45718,Genetic bank,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,92.82143571,,9.457130547,,90.54286945,,17.95515598,,36.02531554,,70.91743282,
115,45718,Genetic bank,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,92.84,92.86035596,12.04222318,12.00668593,87.95777682,87.99331407,22.62704069,22.62704069,24.44668691,24.90728416,56.91475286,56.33867198
116,45718,Genetic bank,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,92.88071193,,11.97114867,,88.02885133,,22.62704069,,25.36788142,,55.7625911,
117,45718,Genetic bank,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,93.23203039,93.27634916,11.15161913,11.05100511,88.84838087,88.94899489,17.94095507,17.94095507,47.15664681,47.9701854,64.26385297,64.48155421
118,45718,Genetic bank,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,93.32066793,,10.95039109,,89.04960891,,17.94095507,,48.78372398,,64.69925545,
119,45718,Genetic bank,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,91.84326269,91.91283399,14.39921637,14.35643896,85.60078363,85.64356104,22.08537556,22.08537556,24.2709361,24.28674512,42.17983588,43.64614315
120,45718,Genetic bank,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,91.98240528,,14.31366156,,85.68633844,,22.08537556,,24.30255413,,45.11245042,
121,45718,Genetic bank,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,90.96,91.03544446,11.01583113,11.01713418,88.98416887,88.98286582,25.72120617,25.72120617,13.25207826,13.14422147,51.75391912,52.82497596
122,45718,Genetic bank,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,91.11088891,,11.01843723,,88.98156277,,25.72120617,,13.03636467,,53.89603281,
123,45718,Genetic bank,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,91.58,91.535,10.34068574,10.36216711,89.65931426,89.63783289,25.77536281,25.77536281,38.41636274,37.6144658,67.42623331,65.50813774
124,45718,Genetic bank,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,91.49,,10.38364849,,89.61635151,,25.77536281,,36.81256886,,63.59004217,
125,45718,Genetic bank,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,92.4830068,92.53224525,11.21919585,11.21974911,88.78080415,88.78025089,17.21944618,17.21944618,33.40776562,33.37983721,59.55180766,60.62801841
126,45718,Genetic bank,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,92.5814837,,11.22030238,,88.77969762,,17.21944618,,33.35190879,,61.70422917,
127,45718,Genetic bank,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,91.94161168,92.00080584,9.471509352,9.417483983,90.52849065,90.58251602,31.82560604,31.82560604,43.11436797,44.14408862,60.33622995,59.53002965
128,45718,Genetic bank,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,92.06,,9.363458614,,90.63654139,,31.82560604,,45.17380928,,58.72382934,
129,45718,Genetic bank,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,91.80163967,92.45081984,19.05902853,19.06227474,80.94097147,80.93772526,23.8828974,23.8828974,24.59602868,24.73436997,50.59020328,52.25784177
130,45718,Genetic bank,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,93.1,,19.06552095,,80.93447905,,23.8828974,,24.87271125,,53.92548025,
131,45718,Genetic bank,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,89.28107189,89.36711797,15.13047374,15.19263964,84.86952626,84.80736036,21.51684891,21.51684891,18.07416386,18.1626666,45.8587462,47.53834417
132,45718,Genetic bank,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,89.45316405,,15.25480554,,84.74519446,,21.51684891,,18.25116934,,49.21794213,
133,45718,Genetic bank,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,91.95160968,91.98580484,16.59236708,16.46288643,83.40763292,83.53711357,24.9715208,24.9715208,43.20852578,42.71416967,57.47737849,57.93782208
134,45718,Genetic bank,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,92.02,,16.33340578,,83.66659422,,24.9715208,,42.21981356,,58.39826568,
135,45718,Genetic bank,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,92.12,92.165,8.119843682,8.094191443,91.88015632,91.90580856,26.36670549,26.36670549,22.4549051,22.54261885,62.05313956,60.52862179
136,45718,Genetic bank,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,92.21,,8.068539204,,91.9314608,,26.36670549,,22.63033261,,59.00410402,
137,45718,Genetic bank,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,93.86122775,93.8215466,7.349808266,7.352550439,92.65019173,92.64744956,22.49012437,22.49012437,37.87869213,37.80469398,65.61156874,66.98254594
138,45718,Genetic bank,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,93.78186544,,7.355292613,,92.64470739,,22.49012437,,37.73069582,,68.35352315,
139,45718,Genetic bank,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,91.87,91.94619664,8.871231087,8.846261932,91.12876891,91.15373807,22.07736189,22.07736189,32.9712372,32.10105566,68.51876674,67.28945857
140,45718,Genetic bank,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,92.02239328,,8.821292776,,91.17870722,,22.07736189,,31.23087411,,66.06015039,
141,,Genetic bank,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,93.00209937,93.05173955,17.49973127,17.45368866,82.50026873,82.54631134,21.81506189,21.04962113,27.92135262,27.78778253,78.84631195,82.34850817
142,,Genetic bank,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,93.10137972,,17.40764605,,82.59235395,,20.28418036,,27.65421243,,85.85070439,
143,,Genetic bank,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,92.05,92.12039046,8.24551874,8.244234424,91.75448126,91.75576558,20.48925605,22.6154996,22.59976687,21.94936226,58.39083458,57.23012208
144,,Genetic bank,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,92.19078092,,8.242950108,,91.75704989,,24.74174315,,21.29895765,,56.06940958,
145,,Genetic bank,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,93.50064994,93.54160845,5.84964175,5.862227412,94.15035825,94.13777259,24.36583118,20.41590152,14.53248615,14.68281549,58.98002117,60.81721503
146,,Genetic bank,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,93.58256697,,5.874813074,,94.12518693,,16.46597185,,14.83314484,,62.65440889,
147,,Genetic bank,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,92.11236629,92.11118315,5.882352941,5.850741122,94.11764706,94.14925888,16.72167743,22.0861462,19.8245911,20.08618277,69.21233731,67.61203479
148,,Genetic bank,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,92.11,,5.819129302,,94.1808707,,27.45061497,,20.34777443,,66.01173228,
149,,Genetic bank,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,92.81287485,92.87643743,8.045234249,8.05209851,91.95476575,91.94790149,27.22443596,23.63066193,22.88043504,23.50042464,63.71707787,63.99407622
150,,Genetic bank,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,92.94,,8.058962772,,91.94103723,,20.0368879,,24.12041423,,64.27107457,
151,,Genetic bank,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,92.43,92.50111417,17.50513902,17.58626282,82.49486098,82.41373718,20.11818757,24.06341709,23.70514025,23.10642255,52.81681908,54.74263748
152,,Genetic bank,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,92.57222833,,17.66738661,,82.33261339,,28.00864661,,22.50770485,,56.66845589,
153,,Genetic bank,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,93.09,93.155,9.098721667,9.146013912,90.90127833,90.85398609,27.81204464,29.43059343,25.7221982,23.57983665,61.77373494,60.75471542
154,,Genetic bank,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,93.22,,9.193306157,,90.80669384,,31.04914222,,21.43747509,,59.73569591,
155,,Genetic bank,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,91.82,91.88,17.45807014,17.8164834,82.54192986,82.1835166,31.48000483,29.01401583,23.19506902,23.87081726,56.65005578,56.1091518
156,,Genetic bank,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,91.94,,18.17489667,,81.82510333,,26.54802683,,24.54656549,,55.56824783,
157,,Genetic bank,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.13,92.225,14.53381092,14.65425381,85.46618908,85.34574619,26.44871462,25.335008,27.03323488,26.75249523,51.67027222,51.19431248
158,,Genetic bank,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.32,,14.77469671,,85.22530329,,24.22130138,,26.47175558,,50.71835274,
159,,Genetic bank,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,91.95,92.01,17.70527461,17.72088972,82.29472539,82.27911028,24.27789935,25.58233898,18.67186303,18.99313227,46.29907217,47.89959503
160,,Genetic bank,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,92.07,,17.73650483,,82.26349517,,26.88677861,,19.31440151,,49.50011789,
161,,Genetic bank,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,93.96181146,94.01679496,6.841153314,6.884976232,93.15884669,93.11502377,26.31287847,24.85046879,38.79729316,38.38327518,58.5049959,58.65399616
162,,Genetic bank,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,94.07177847,,6.92879915,,93.07120085,,23.38805912,,37.96925721,,58.80299642,
163,,Genetic bank,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,91.91242627,91.93701698,7.613661083,7.660929259,92.38633892,92.33907074,23.91713839,25.85235955,39.31213235,38.02759415,62.40454731,61.85587213
164,,Genetic bank,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,91.96160768,,7.708197434,,92.29180257,,27.78758071,,36.74305595,,61.30719696,
165,,Genetic bank,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,93.42328836,93.52759939,17.1177918,17.13245986,82.8822082,82.86754014,27.31500964,23.79660353,16.43957802,16.09918371,41.54842529,40.18477672
166,,Genetic bank,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,93.63191043,,17.14712791,,82.85287209,,20.27819741,,15.7587894,,38.82112816,
167,,Genetic bank,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,93.09345327,92.94852574,7.118316513,7.059427508,92.88168349,92.94057249,20.40453153,23.1295439,30.11625699,30.21775381,59.23304043,59.9499983
168,,Genetic bank,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,92.8035982,,7.000538503,,92.9994615,,25.85455626,,30.31925063,,60.66695616,
169,,Genetic bank,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,91.69415292,91.77870381,13.75626771,13.95647988,86.24373229,86.04352012,26.18410142,24.00645742,17.66952458,18.24323904,51.40754591,51.97573659
170,,Genetic bank,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,91.8632547,,14.15669206,,85.84330794,,21.82881342,,18.8169535,,52.54392727,
171,,Genetic bank,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,93.08207538,93.09103769,15.32595854,15.38048733,84.67404146,84.61951267,21.52108571,20.75389269,41.69760353,41.98638116,54.82821066,54.57173406
172,,Genetic bank,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,93.1,,15.43501611,,84.56498389,,19.98669966,,42.27515879,,54.31525746,
173,,Genetic bank,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,90.86,90.82638109,6.603565926,6.638052507,93.39643407,93.36194749,20.48504618,24.64778486,21.24990056,20.57624578,55.38070717,55.33710134
174,,Genetic bank,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,90.79276217,,6.672539088,,93.32746091,,28.81052353,,19.902591,,55.2934955,
175,,Genetic bank,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,92.76072393,92.80107782,8.21386224,8.193728449,91.78613776,91.80627155,28.1974698,25.55766027,15.20329524,15.01232891,54.98031476,54.1619301
176,,Genetic bank,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,92.84143171,,8.173594659,,91.82640534,,22.91785074,,14.82136258,,53.34354543,
177,,Genetic bank,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,93.7,93.755,11.93169691,11.90871169,88.06830309,88.09128831,22.68467015,27.5825287,16.3291768,16.46284897,52.25645049,52.41146942
178,,Genetic bank,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,93.81,,11.88572647,,88.11427353,,32.48038724,,16.59652115,,52.56648835,
