22_no,22_date,22_requisitioner,22_set_ciat,22_ciat_lab_id,22_gene_bank_breeding_program_id,22_genus,22_species,22_tax_name,22_family,22_order,22_functional_group,22_replication,22_dm_percentage,22_av_dm_percentage
136,,LMF,24,F25-0008,Sample 8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
137,,Benchmark,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,A,5.233264588,5.254881288
138,,Benchmark,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,B,5.276497987,
139,,Benchmark,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,A,8.59396902,8.499632808
140,,Benchmark,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,B,8.405296596,
141,,Benchmark,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,A,7.711576656,7.591958095
142,,Benchmark,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,B,7.472339535,
143,,Benchmark,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,A,10.3571472,10.3341284
144,,Benchmark,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,B,10.3111096,
145,,Benchmark,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,A,9.516927232,9.461505036
146,,Benchmark,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,B,9.406082841,
147,,Benchmark,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,A,7.088053565,7.205838303
148,,Benchmark,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,B,7.323623042,
149,,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,A,5.979910186,6.015455806
150,,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,B,6.051001425,
151,,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,2.29074845,2.286884733
152,,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,2.283021015,
153,,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,A,4.055548602,4.070618715
154,,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,B,4.085688827,
155,,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,17.78325823,17.78325823
156,,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,17.78325823,
157,,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,19.4411267,19.4411267
158,,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,19.4411267,
159,,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,15.96040922,15.96040922
160,,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,15.96040922,
161,,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,11.82940985,11.82940985
162,,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,11.82940985,
163,,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,15.7419787,15.7419787
164,,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,15.7419787,
165,,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,15.71943231,15.71943231
166,,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,15.71943231,
167,,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,15.00091825,15.00091825
168,,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,15.00091825,
169,,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,14.80076413,14.80076413
170,,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,14.80076413,
171,,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,18.30888052,18.30888052
172,,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,18.30888052,
173,,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,17.36776998,17.36776998
174,,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,17.36776998,
175,,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,15.08813852,15.08813852
176,,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,15.08813852,
177,,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,14.93631922,14.93631922
178,,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,14.93631922,
179,,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,12.26457661,12.26457661
180,,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,12.26457661,
181,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,15.6237236,15.6237236
182,,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,15.6237236,
183,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,16.73097066,16.73097066
184,,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,16.73097066,
185,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,15.948572,15.948572
186,,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,15.948572,
187,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,16.98998622,16.98998622
188,,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,16.98998622,
189,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,16.92081178,16.90349842
190,,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,16.88618505,
191,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,18.05508462,18.05508462
192,,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,18.05508462,
193,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,17.67538478,17.67538478
194,,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,17.67538478,
195,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,A,13.79,13.79
196,,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,B,13.79,
197,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,A,13.29,13.29
198,,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,B,13.29,
199,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,A,,#DIV/0!
200,,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,B,,
201,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!
202,,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,B,,
203,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,12.81540684,12.79505553
204,,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,12.77470423,
205,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,12.56130524,12.48033098
206,,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,12.39935672,
207,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,11.78358852,11.82323376
208,,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,11.862879,
209,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,10.93139136,10.93241242
210,,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,10.93343348,
211,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,13.91473526,13.86945646
212,,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,13.82417766,
213,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,27.22199798,27.04985095
214,,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,26.87770392,
215,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,23.44936461,23.76409216
216,,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,24.07881971,
217,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,24.73813252,24.62346236
218,,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,24.5087922,
219,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,26.08054842,26.03670779
220,,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,25.99286716,
221,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,26.19869808,26.14820489
222,,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,26.0977117,
223,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,20.0349409,20.06408722
224,,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,20.09323354,
225,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,24.24979186,24.27831451
226,,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,24.30683715,
227,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,19.63905813,19.50407785
228,,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,19.36909757,
229,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,A,29.88775894,29.8654513
230,,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,B,29.84314365,
231,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,A,16.50953845,16.52959249
232,,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,B,16.54964653,
233,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,A,22.53378675,22.5254399
234,,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,B,22.51709305,
235,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,A,,#DIV/0!
236,,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,B,,
237,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,A,,#DIV/0!
238,,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,B,,
239,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,15.32414022,15.32414022
240,,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,15.32414022,
241,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,19.39058885,19.39058885
242,,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,19.39058885,
243,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,15.38042263,15.38042263
244,,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,15.38042263,
245,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,18.21514073,18.21514073
246,,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,18.21514073,
247,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,16.63289803,16.63289803
248,,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,16.63289803,
249,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,17.10536308,17.10536308
250,,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,17.10536308,
251,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,17.41634934,17.41634934
252,,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,17.41634934,
253,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,16.95910506,16.95910506
254,,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,16.95910506,
255,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,19.36295011,19.36295011
256,,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,19.36295011,
257,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,14.59175284,14.59175284
258,,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,14.59175284,
259,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,14.06737697,14.06737697
260,,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,14.06737697,
261,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,16.00449418,16.00449418
262,,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,16.00449418,
263,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,11.49501692,11.49501692
264,,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,11.49501692,
265,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,14.95347019,14.95347019
266,,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,14.95347019,
267,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,A,,#DIV/0!
268,,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,B,,
