24_no,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_replication,24_ndf,24_av_ndf_percentage_dm,
135,Benchmark,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,A,69.12975235,68.7941444,
136,Benchmark,25,F25-2136,CIAT_6962_Mombaza _Ex,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,B,68.45853645,,
137,Benchmark,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,A,62.19319958,62.47008518,
138,Benchmark,25,F25-2137,CIAT_606_Basilisk_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,B,62.74697079,,
139,Benchmark,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,A,64.31258378,64.62485697,
140,Benchmark,25,F25-2138,CIAT_6294_Marandu_Opt,Brachiaria,interespecifico,Brachiaria interespecifico ,Poaceae,Poales,grasses,B,64.93713016,,
141,Benchmark,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,A,58.62142309,59.22655141,
142,Benchmark,25,F25-2139,CIAT_36087_MulatoII_Opt,Brachiaria,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,B,59.83167972,,
143,Benchmark,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,A,64.02927966,64.12482081,
144,Benchmark,25,F25-2140,CIAT_6133_Llanero _Opt,Brachiaria,humidicola,Brachiaria humidicola,Poaceae,Poales,grasses,B,64.22036196,,
145,Benchmark,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,A,64.95567797,65.42258686,
146,Benchmark,25,F25-2141,CIAT_6962_Mombaza _Opt,Megathyrsus ,maximus,Megathyrsus maximus ,Poaceae,Poales,grasses,B,65.88949575,,
147,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,A,78.93818278,77.95737831,
148,Benchmark,25,F252566,Paja Sabana Madura,0,0,0,Poaceae,Poales,grasses,B,76.97657383,,
149,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,80.94822765,81.88270004,
150,Benchmark,25,F252567,Humidicola 679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,82.81717242,,
151,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,A,78.63735444,77.83093467,
152,Benchmark,25,F252568,Sabana Quemada,0,0,0,Poaceae,Poales,grasses,B,77.02451491,,
153,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,49.93660615,49.64805484,
154,Genetic bank,25,F24-3548,ABC-2783-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,49.35950353,,
155,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,52.05369224,51.77233393,
156,Genetic bank,25,F24-3549,ABC-10440-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,51.49097562,,
157,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,59.70617907,59.51261586,
158,Genetic bank,25,F24-3550,ABC-10613-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,59.31905266,,
159,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,58.35505896,57.4958606,
160,Genetic bank,25,F24-3551,ABC-10627-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,56.63666224,,
161,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,57.2811761,56.98831656,
162,Genetic bank,25,F24-3552,ABC-10634-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,56.69545701,,
163,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,54.97199008,53.93931167,
164,Genetic bank,25,F24-3553,ABC-10639-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,52.90663325,,
165,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,58.24573888,58.80649323,
166,Genetic bank,25,F24-3554,ABC-10725-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,59.36724757,,
167,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,57.1970024,58.27901371,
168,Genetic bank,25,F24-3555,ABC-11199-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,59.36102501,,
169,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,54.30137458,52.52701023,
170,Genetic bank,25,F24-3556,ABC-11215-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,50.75264587,,
171,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,55.61370624,56.95355568,
172,Genetic bank,25,F24-3557,ABC-11220-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,58.29340512,,
173,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,54.27373961,54.20360849,
174,Genetic bank,25,F24-3558,ABC-11232-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,54.13347738,,
175,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,55.72613235,55.96398381,
176,Genetic bank,25,F24-3559,ABC-11313-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,56.20183527,,
177,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,A,57.71167596,57.22621539,
178,Genetic bank,25,F24-3560,ABC-11417-1,Stylosanthes,guianensis,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,B,56.74075483,,
179,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,56.3179606,54.88064863,
180,Genetic bank,25,F24-3561,ABC-11624-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,53.44333665,,
181,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,54.57110674,54.32808491,
182,Genetic bank,25,F24-3562,ABC-11690-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,54.08506308,,
183,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,57.93619465,58.72585915,
184,Genetic bank,25,F24-3563,ABC-11762-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,59.51552365,,
185,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,53.88886015,54.21235109,
186,Genetic bank,25,F24-3564,ABC-11778-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,54.53584203,,
187,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,A,58.07859794,59.39246008,
188,Genetic bank,25,F24-3565,ABC-11784-1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,B,60.70632222,,
189,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,A,53.22390107,52.8942614,
190,Genetic bank,25,F24-3566,ABC-11820-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,B,52.56462172,,
191,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,A,53.88658337,53.81308682,
192,Genetic bank,25,F24-3567,ABC-12042-1,Stylosanthes,humilis,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,B,53.73959026,,
193,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,A,71.52,71.52,
194,LMF-invivo,25,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,Dieta 1_Exp1,0,0,0,B,71.52,,
195,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,A,67.86,67.86,
196,LMF-invivo,25,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,Dieta 2_Exp1,0,0,0,B,67.86,,
197,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,A,,#DIV/0!,
198,LMF,25,F25-0017,Hohenheimer Heustandard,0,0,Hohenheimer Heustandard,0,0,0,B,,,
199,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!,
200,LMF,25,F25-0008,Sample 8,Cynodon,nlemfuensis ,Cynodon nlemfuensis ,0,0,0,B,,,
201,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,A,,#DIV/0!,
202,LMF,26,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,0,0,0,B,,,
203,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,63.58882866,63.39943472,
204,Benchmark,26,F252624,CIAT_6294_Marandu_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,63.21004079,,
205,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,63.44384941,62.99443398,
206,Benchmark,26,F252625,CIAT_36087_MulatoII_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,62.54501855,,
207,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,66.15510635,65.32222998,
208,Benchmark,26,F252626,CIAT_606_Basilisk_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,64.48935361,,
209,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,59.67263734,59.76409327,
210,Benchmark,26,F252627,BR02_1752_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,59.85554921,,
211,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,A,61.75201956,61.5969139,R
212,Benchmark,26,F252628, BR06_423_Cayman_Exc,Urochloa, interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,B,61.44180824,,R
213,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,53.1292052,52.99283637,
214,Breeding,26,F252629,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,52.85646753,,
215,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,49.84947921,49.63699347,
216,Breeding,26,F252630,CIAT 20692,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,49.42450773,,
217,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,54.11248908,55.01149716,
218,Breeding,26,F252631,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,55.91050524,,
219,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,48.79029556,47.70698998,
220,Breeding,26,F252632,CIAT 17768,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,46.6236844,,
221,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,52.38009466,52.45562349,
222,Breeding,26,F252633,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,52.53115232,,
223,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,51.88354333,50.39099649,
224,Breeding,26,F252634,CIAT 712,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,48.89844964,,
225,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,56.83156237,58.05173019,
226,Breeding,26,F252635,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,59.271898,,
227,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,A,49.88292119,50.18459635,
228,Breeding,26,F252636,CIAT 9432,Clitoria ,ternatea,Clitoria ternatea ,Fabaceae,Fabales,Herbáceas ,B,50.48627152,,
229,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,A,58.55672921,57.51440363,
230,Breeding,26,F25-2637,CIAT 17462,Leucaena ,leucocephala ,Leucaena leucocephala ,Leguminosae,Fabales,Arbustiva ,B,56.47207805,,
231,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,A,42.18083602,42.24462621,
232,Breeding,26,F252638,N/A,Tithonia ,diversifolia ,Tithonia diversifolia,Compositae,Asterales,Arbustiva ,B,42.3084164,,
233,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,A,39.34867028,40.75942634,
234,Breeding,26,F252639,N/A,Gliricidia  ,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,B,42.17018241,,
235,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,A,,#DIV/0!,
236,LMF,26,Dieta 1_2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,Dieta 1_Exp2,0,0,0,B,,,
237,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,A,,#DIV/0!,
238,LMF,26,Dieta 2_2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,Dieta 2_Exp2,0,0,0,B,,,
239,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,54.65835442,55.54869239,
240,Genetic bank,26,F24-3568,ABC-12115-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,56.43903036,,
241,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,53.46449684,54.15129619,
242,Genetic bank,26,F24-3569,ABC-12140-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,54.83809555,,
243,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,46.83641859,48.48595278,
244,Genetic bank,26,F24-3570,ABC-12184-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,50.13548697,,
245,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,47.97015418,48.05879332,
246,Genetic bank,26,F24-3571,ABC-12202-1,Stylosanthes humilis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,48.14743247,,
247,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,52.67527835,53.68168372,
248,Genetic bank,26,F24-3572,ABC-12311-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,54.6880891,,
249,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,56.60893353,56.8060671,
250,Genetic bank,26,F24-3573,ABC-12381-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,57.00320067,,
251,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,56.96825623,56.26443289,
252,Genetic bank,26,F24-3574,ABC-12374-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,55.56060956,,
253,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,57.25213931,55.42977173,
254,Genetic bank,26,F24-3575,ABC-12457-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,53.60740415,,
255,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,59.10634175,57.4468751,
256,Genetic bank,26,F24-3576,ABC-12462-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,55.78740844,,
257,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,56.53726026,55.78517656,
258,Genetic bank,26,F24-3577,ABC-12485-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,55.03309286,,
259,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,54.7603639,53.46225478,
260,Genetic bank,26,F24-3578,ABC-12615-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,52.16414567,,
261,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,47.42377574,48.94313966,
262,Genetic bank,26,F24-3579,ABC-12686-1,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,50.46250358,,
263,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,58.26437237,58.37526429,
264,Genetic bank,26,F24-3580,ABC-12710-1,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,58.4861562,,
265,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,A,58.26469765,56.96677962,
266,Genetic bank,26,F24-3581,ABC-12758-1,Stylosanthes guianensis,Fabaceae,Fabales,Herbaceous,OT-033 (2024),#REF!,B,55.66886158,,
267,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,A,,#DIV/0!,
268,LMF,26,F25-2134,Hohenheimer Heustandard IAG 2025/1 S1,Hohenheimer Heustandard, Heustandard,Green meal ,0,OT-017,#REF!,B,,,