40_sample_serial_no,40_dat,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
96,46048,Genbank,28,F251772,CIAT-22311,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,93.95060494,,7.029760988,,92.97023901,,21.51362159,,50.1296014,,55.90976352,
97,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,95.54044596,95.51589927,8.667847076,8.646047909,91.33215292,91.35395209,20.81595568,20.81595568,43.60548667,44.54158614,55.27365589,54.35653644
98,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,95.49135259,,8.624248742,,91.37575126,,20.81595568,,45.47768561,,53.439417,
99,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.85041496,95.85582829,7.573117047,7.551501552,92.42688295,92.44849845,20.35537133,20.35537133,53.21545699,52.75794079,63.33418795,65.19334123
100,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.86124163,,7.529886057,,92.47011394,,20.35537133,,52.3004246,,67.05249452,
101,46048,Genbank,28,F251775,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.64087183,95.63109272,7.757431277,7.882488089,92.24256872,92.11751191,18.29933939,18.29933939,56.56341222,57.41967224,63.80212726,65.17291286
102,46048,Genbank,28,F251775,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,95.62131361,,8.007544902,,91.9924551,,18.29933939,,58.27593225,,66.54369845,
103,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,94.83155053,94.84129016,9.497232477,9.508249066,90.50276752,90.49175093,8.022996186,8.024372736,32.56160596,33.13401586,67.4948194,68.07606427
104,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,94.85102979,,9.519265655,,90.48073435,,8.025749287,,33.70642576,,68.65730913,
105,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,94.95,95.07595962,11.72746512,11.58844246,88.27253488,88.41155754,8.047466056,7.956214447,34.1244778,34.07855719,68.45832672,68.31550169
106,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,95.20191923,,11.4494198,,88.5505802,,7.864962838,,34.03263659,,68.17267667,
107,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,95.97080584,96.0205994,10.69348293,10.67319077,89.30651707,89.32680923,9.576828422,9.593884304,33.95959876,33.18171553,68.80818738,67.84324289
108,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.07039296,,10.65289861,,89.34710139,,9.610940186,,32.4038323,,66.8782984,
109,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,95.84041596,95.96040396,10.25320413,10.19068459,89.74679587,89.80931541,8.108780345,8.039567546,32.61768508,32.62424549,67.68596463,67.42838282
110,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.08039196,,10.12816505,,89.87183495,,7.970354747,,32.6308059,,67.17080101,
111,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.23027697,97.27027297,9.765625,9.940378289,90.234375,90.05962171,7.600387216,7.558349181,34.96825588,35.29717036,68.88783688,69.39148718
112,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.31026897,,10.11513158,,89.88486842,,7.516311147,,35.62608484,,69.89513748,
113,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.06,97.1,12.6261586,12.34294542,87.3738414,87.65705458,10.01719507,9.983782792,31.84574309,31.98273659,63.48334918,64.13836256
114,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.14,,12.05973223,,87.94026777,,9.950370516,,32.11973009,,64.79337593,
115,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.44035596,96.50034997,9.85390115,10.04041032,90.14609885,89.95958968,7.970471762,7.975931836,33.06491166,32.76733643,68.80747171,68.19252088
116,46048,Genbank,28,F252190,CIAT-BH22_3572,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.56034397,,10.22691949,,89.77308051,,7.98139191,,32.46976119,,67.57757006,
117,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.84126349,96.86671949,10.2264613,10.26103525,89.7735387,89.73896475,8.167349854,8.209939033,34.34940314,34.30560713,69.42682396,69.455898
118,46048,Genbank,28,F252191,CIAT-BH22_0517,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.89217548,,10.2956092,,89.7043908,,8.252528213,,34.26181111,,69.48497204,
119,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.68,97.65535539,11.14122206,11.14466989,88.85877794,88.85533011,9.38325511,9.360586683,31.76728685,31.6848152,64.61466811,64.57727447
120,46048,Genbank,28,F252192,CIAT-BH22_0519,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,97.63071079,,11.14811772,,88.85188228,,9.337918256,,31.60234356,,64.53988082,
121,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.43107068,96.52654873,11.04028177,10.99203537,88.95971823,89.00796463,9.00281067,9.028947487,31.57838055,31.72034801,67.17952559,66.87631034
122,46048,Genbank,28,F252193,CIAT-BH22_0521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,96.62202678,,10.94378898,,89.05621102,,9.055084304,,31.86231547,,66.5730951,
123,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,91.67249825,93.55,13.39088534,11.4,86.60911466,88.6,28.60156825,28.62372253,39.48848273,0,56.2323033,76.1
124,46048,Genbank,28,F252574,CIAT326,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,91.68083192,,12.95729083,,87.04270917,,28.6458768,,38.38394148,,55.07818776,
125,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.3,93.55,11.3,11.4,88.7,88.6,0,0,0,0,76.1,76.1
126,46048,Jacobo Arango/Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.8,,11.5,,88.5,,0,,0,,76.1,
127,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,92,91.42885574,21.24289414,10.75762617,78.75710586,89.24237383,26.95773609,26.95773609,25.37871278,23.98045976,41.71108525,45.45969219
128,46048,Genbank,28,F252575,CIAT415,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,91.8732507,,19.2881855,,80.7118145,,26.95773609,,25.17044227,,42.68538652,
129,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,91.40343862,91.0831282,10.76909636,13.68599877,89.23090364,86.31400123,26.83737782,26.83737782,24.61392416,26.52504004,46.38298015,45.60801435
130,46048,Genbank,28,F252576,CIAT416,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,91.45427286,,10.74615599,,89.25384401,,26.83737782,,23.34699537,,44.53640422,
131,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,91.03448276,92.99781159,13.69492173,12.88760478,86.30507827,87.11239522,23.68402656,23.68402656,26.72725226,30.28518761,45.87051567,51.4379895
132,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,91.13177365,,13.67707581,,86.32292419,,23.68402656,,26.32282782,,45.34551304,
133,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,92.94423346,88.84780354,12.97101742,8.444929231,87.02898258,91.55507077,21.85730465,21.85730465,29.99083879,24.85387739,51.01815447,51.081849
134,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,93.05138972,,12.80419213,,87.19580787,,21.85730465,,30.57953644,,51.85782454,
135,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,88.95110489,91.97281233,8.519336184,9.331025136,91.48066382,90.66897486,14.78857004,14.78857004,24.83226537,37.91537767,49.4407795,57.18138145
136,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,88.7445022,,8.370522279,,91.62947772,,14.78857004,,24.87548941,,52.7229185,
137,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,91.95402299,91.01315869,9.25897764,9.451343506,90.74102236,90.54865649,18.70996375,18.70996375,37.03959724,38.39249836,56.49795979,60.09027386
138,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,91.99160168,,9.403072633,,90.59692737,,18.70996375,,38.79115809,,57.8648031,
139,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,90.92453773,92.30309045,9.620171759,14.76074376,90.37982824,85.23925624,17.54314001,17.54314001,38.19609992,33.57161599,60.48539202,51.70747699
140,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,91.10177964,,9.282515254,,90.71748475,,17.54314001,,38.5888968,,59.69515569,
141,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.24465321,90.94089982,14.3679293,11.81969195,85.6320707,88.18030805,20.83137982,20.83137982,32.4010087,27.98665999,50.50997569,49.14474341
142,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.36152769,,15.15355823,,84.84644177,,20.83137982,,34.74222328,,52.90497829,
143,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,90.88,92.05698448,11.91982928,11.96785912,88.08017072,88.03214088,19.79583376,19.48200475,28.07370229,24.33126693,48.46037716,48.31644356
144,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,91.00179964,,11.71955462,,88.28044538,,19.16817574,,27.89961768,,49.82910966,
145,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,92.03159368,92.22311644,12.06619846,12.06373267,87.93380154,87.93626733,18.9362818,18.9362818,24.10088015,28.02044589,48.02170794,49.62995675
146,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,92.08237529,,11.86951978,,88.13048022,,18.9362818,,24.5616537,,48.61117918,
147,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,92.25154969,91.40629561,12.06614445,5.748212086,87.93385555,94.25178791,25.08438089,25.08438089,28.16909679,36.53673911,51.30312744,57.4537689
148,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,92.19468319,,12.06132089,,87.93867911,,25.08438089,,27.87179498,,47.95678606,
149,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,91.45,90.75685004,5.863928698,8.322782107,94.1360713,91.67721789,18.55944373,18.55944373,37.05595298,29.5735168,58.07161357,53.5689522
150,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,91.36259122,,5.632495474,,94.36750453,,18.55944373,,36.01752524,,56.83592424,
151,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,90.74277717,91.31391004,8.261360626,8.932184411,91.73863937,91.06781559,21.70179375,21.70179375,29.58125848,30.0153279,53.01180437,54.87836737
152,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,90.77092291,,8.384203587,,91.61579641,,21.70179375,,29.56577513,,54.12610002,
153,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,91.32260322,91.31391004,8.911631019,8.932184411,91.08836898,91.06781559,21.18340649,21.18340649,31.01340151,30.0153279,56.56295091,54.87836737
154,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,91.30521687,,8.952737802,,91.0472622,,21.18340649,,29.0172543,,53.19378383,
155,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,90.24,90.25548645,9.594984572,9.616661972,90.40501543,90.38333803,17.57023385,17.57023385,27.22743192,26.44138743,52.25595779,51.95522499
156,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,90.2709729,,9.638339373,,90.36166063,,17.57023385,,25.65534294,,51.6544922,
157,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,91.94080592,92.00579942,7.727001032,7.754170516,92.27299897,92.24582948,18.83906509,18.83906509,32.05167123,32.6183955,49.51312019,49.99219678
158,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,92.07079292,,7.781339999,,92.21866,,18.83906509,,33.18511977,,50.47127337,
159,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,92.13157369,92.16734622,8.786604645,8.753189862,91.21339536,91.24681014,22.45780061,22.45780061,26.15941458,26.10286621,46.74297958,47.12307465
160,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,92.20311875,,8.719775078,,91.28022492,,22.45780061,,26.04631785,,47.50316973,
161,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,91.0726782,91.19264221,7.58605569,7.575093181,92.41394431,92.42490682,21.99387384,21.99387384,29.62497073,29.77176208,49.65055275,49.72480329
162,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,91.31260622,,7.564130673,,92.43586933,,21.99387384,,29.91855344,,49.79905383,
163,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,93.3220034,93.40632717,9.332756194,9.403270852,90.66724381,90.59672915,22.91297307,22.81967121,30.92834653,31.06555591,55.45730519,56.4475563
164,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,93.49065093,,9.47378551,,90.52621449,,22.72636934,,31.20276528,,57.43780741,
165,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,92.05079492,92.0961833,10.07541438,10.150903,89.92458562,89.849097,18.2131397,18.2131397,24.22314912,25.07278118,51.00615057,49.46694066
166,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,92.14157169,,10.22639163,,89.77360837,,18.2131397,,25.92241325,,47.92773074,
167,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,91.72165567,91.5983853,16.40530513,16.18926784,83.59469487,83.81073216,20.55277496,20.55277496,25.71391134,25.43976491,43.30245075,42.67117825
168,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,91.47511493,,15.97323055,,84.02676945,,20.55277496,,25.16561848,,42.03990575,
169,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,92.75144971,92.74681353,9.90671487,9.970892531,90.09328513,90.02910747,16.29399375,16.29399375,35.01632533,34.49438926,56.31724449,57.2475561
170,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,92.74217735,,10.03507019,,89.96492981,,16.29399375,,33.97245319,,58.17786772,
171,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,91.69166167,91.72124329,11.95776032,11.77848324,88.04223968,88.22151676,17.93763784,17.93763784,33.35711653,34.2978129,59.84167667,61.11490658
172,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,91.75082492,,11.59920616,,88.40079384,,17.93763784,,35.23850927,,62.3881365,
173,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.71082892,91.66625229,10.89714137,10.88023618,89.10285863,89.11976382,21.07617968,21.07617968,23.51985913,23.40640677,51.17510205,50.71948924
174,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.62167566,,10.863331,,89.136669,,21.07617968,,23.2929544,,50.26387644,
175,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.76164767,91.81204447,14.59211655,14.8037139,85.40788345,85.1962861,18.55661144,18.55661144,27.30491827,27.48505137,48.93826659,50.31546122
176,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.86244127,,15.01531125,,84.98468875,,18.55661144,,27.66518447,,51.69265585,
177,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,90.70185963,90.70871514,10.37179103,10.4798948,89.62820897,89.5201052,16.64819845,16.64819845,42.86543156,42.64686777,58.87300675,58.29471345
178,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,90.71557066,,10.58799856,,89.41200144,,16.64819845,,42.42830399,,57.71642016,
179,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,92.33459924,92.60907873,9.766400206,9.977345563,90.23359979,90.02265444,17.5775175,17.5775175,44.62612732,44.72252364,58.51360874,59.51631388
180,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,92.88355822,,10.18829092,,89.81170908,,17.5775175,,44.81891995,,60.51901901,
181,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,89.66413435,89.82756762,10.88317298,10.32823895,89.11682702,89.67176105,21.9401464,21.9401464,32.66799286,32.42758485,51.31534157,49.95690317
182,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,89.9910009,,9.773304922,,90.22669508,,21.9401464,,32.18717684,,48.59846477,
183,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,90.28485757,90.34290874,17.74570271,18.09235425,82.25429729,81.90764575,16.68180624,16.65817348,41.73947776,40.99093379,48.97461106,48.14587528
184,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,90.4009599,,18.43900578,,81.56099422,,16.63454072,,40.24238981,,47.3171395,
185,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.3,93.55,11.3,11.4,88.7,88.6,0,0,0,0,76.1,76.1
186,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.8,,11.5,,88.5,,0,,0,,76.1,
187,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,89.52,89.53656703,13.61454923,11.97121274,86.38545077,88.02878726,13.46691821,13.46691821,44.85763775,44.71108459,52.56458331,52.71607252
188,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,89.55313406,,10.32787624,,89.67212376,,13.46691821,,44.56453144,,52.86756172,
189,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,92.92141572,92.94105982,18.88991662,20.28407787,81.11008338,79.71592213,17.60529835,17.60529835,45.5644788,44.8303139,53.16702551,51.54142924
190,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,92.96070393,,21.67823913,,78.32176087,,17.60529835,,44.09614901,,49.91583297,
191,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,90.54472764,90.54283677,12.19806906,11.32255879,87.80193094,88.67744121,26.99802394,26.99802394,33.60240728,33.58715913,51.80362673,51.72595541
192,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,90.54094591,,10.44704853,,89.55295147,,26.99802394,,33.57191099,,51.64828408,
193,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,91.01449275,91.03358847,8.004031197,10.42628781,91.9959688,89.57371219,21.69628458,21.69628458,33.90170078,33.70085178,53.94964439,53.52216236
194,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,91.05268419,,12.84854442,,87.15145558,,21.69628458,,33.50000278,,53.09468033,
